GEMEENTENAAM VESTIGING;ADRES PLAATS;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;TITELGEMEENTEN;ADRES-naam;ADRES;ADRES_STRAAT;ADRES-NR;ADRES_PC;ADRES PLAATS;DENOMINATIE
BRONCKHORST;VORDEN;02FC04;Ulenhof 't Beeckland;BRONCKHORST;PC SGM Ulenhof College v Ath Havo Mavo Vbo Lwoo;Het Hoge 41, 7251 XV VORDEN;Het Hoge;41;7251 XV;VORDEN;Protestants-Christelijk
BRONCKHORST;VORDEN;02FC07;PC College Ulenhof;BRONCKHORST;PC SGM Ulenhof College v Ath Havo Mavo Vbo Lwoo;Nieuwstad 49, 7251 AG VORDEN;Nieuwstad;49;7251 AG;VORDEN;Protestants-Christelijk
BUNSCHOTEN;BUNSCHOTEN-SPAKENBURG;14RC03;Oostwende College;BUNSCHOTEN;Meerwegen College vestiging Farel locatie Bunschoten;Plecht 1, 3751 WB BUNSCHOTEN-SPAKENBURG;Plecht;1;3751 WB;BUNSCHOTEN-SPAKENBURG;Protestants-Christelijk
CAPELLE AAN DEN IJSSEL;CAPELLE AAN DEN IJSSEL;19GY00;Comenius College;CAPELLE AAN DEN IJSSEL;Comenius College Chr. SGM voor vwo havo vmbo lwoo;Lijstersingel 2-18, 2902 JD CAPELLE AAN DEN IJSSEL;Lijstersingel;2-18;2902 JD;CAPELLE AAN DEN IJSSEL;Protestants-Christelijk
CAPELLE AAN DEN IJSSEL;CAPELLE AAN DEN IJSSEL;20BH00;IJsselcollege Alkenlaan;CAPELLE AAN DEN IJSSEL;IJsselcollege(VWO,HAVO,MAVO,VMBO,PRO);Alkenlaan 83, 2903 EB CAPELLE AAN DEN IJSSEL;Alkenlaan;83;2903 EB;CAPELLE AAN DEN IJSSEL;Openbaar
CAPELLE AAN DEN IJSSEL;CAPELLE AAN DEN IJSSEL;20BH01;IJsselcollege Kanaalweg;CAPELLE AAN DEN IJSSEL;IJsselcollege voor Atheneum Havo Mavo Vbo Lwoo;Kanaalweg 52-A, 2903 LS CAPELLE AAN DEN IJSSEL;Kanaalweg;52-A;2903 LS;CAPELLE AAN DEN IJSSEL;Algemeen bijzonder
CRANENDONCK;BUDEL;02ZR02;Bravo College;CRANENDONCK;Het College voor Lyceum Havo Mavo Vbo Lwoo locatie Bravo College;Jan van Schoonvorststr 1, 6021 BP BUDEL;Jan van Schoonvorststr;1;6021 BP;BUDEL;Rooms-Katholiek
CROMSTRIJEN;KLAASWAAL;01OE05;Wellantcollege;CROMSTRIJEN;Wellantcollege;Rijksstraatweg 30-B, 3286 LS KLAASWAAL;Rijksstraatweg;30-B;3286 LS;KLAASWAAL;Algemeen bijzonder
CUIJK;CUIJK;19RX00;Merletcollege, Grotestraat;CUIJK;Merletcollege Lyc Havo Mavo Vbo Lwoo;Grotestraat 144, 5431 DM CUIJK;Grotestraat;144;5431 DM;CUIJK;Rooms-Katholiek
CUIJK;CUIJK;19RX03;Merletcollege, Robijnlaan;CUIJK;Merletcollege Lyc Havo Mavo Vbo Lwoo;Robijnlaan 77, 5431 ZN CUIJK;Robijnlaan;77;5431 ZN;CUIJK;Rooms-Katholiek
CULEMBORG;CULEMBORG;19EW00;Lek en Linge vwo;CULEMBORG;Openbare Regionale Scholengemeenschap Lek en Linge voor atheneum havo vmbo lwoo;Multatulilaan 6, 4103 NM CULEMBORG;Multatulilaan;6;4103 NM;CULEMBORG;Openbaar
CULEMBORG;CULEMBORG;19EW01;Lek en Linge vmbo;CULEMBORG;Openbare Regionale Schoolgemeenschap Lek en Linge voor vwo havo vmbo lwoo;Ina Boudier-Bakkerstraat 2, 4103 NN CULEMBORG;Ina Boudier-Bakkerstraat;2;4103 NN;CULEMBORG;Openbaar
CULEMBORG;CULEMBORG;19EW03;Lek en Linge havo;CULEMBORG;Openbare Regionale Schoolgemeenschap Lek en Linge voor vwo havo vmbo lwoo;Multatulilaan 3, 4103 NM CULEMBORG;Multatulilaan;3;4103 NM;CULEMBORG;Openbaar
CULEMBORG;CULEMBORG;19QA00;Koningin Wilhelmina College;CULEMBORG;Koningin Wilhelmina College voor Lyc Havo Mavo Vbo Pro en Lwoo;Beethovenlaan 1, 4102 BM CULEMBORG;Beethovenlaan;1;4102 BM;CULEMBORG;Samenwerking PC, RK
CULEMBORG;CULEMBORG;19QA04;Koningin Wilhelmina College, vmbo;CULEMBORG;Koningin Wilhelmina College voor Lyc Havo Mavo Vbo Pro en Lwoo;Gershwinhof 1, 4102 DJ CULEMBORG;Gershwinhof;1;4102 DJ;CULEMBORG;Samenwerking PC, RK
DALFSEN;NIEUWLEUSEN;02VT04;Agnieten College Nieuwleusen;DALFSEN;Agnieten College Nieuwleusen voor Lyceum Havo Mavo Vbo Lwoo;Zwaluwlaan 23, 7711 LN NIEUWLEUSEN;Zwaluwlaan;23;7711 LN;NIEUWLEUSEN;Protestants-Christelijk
DE BILT;BILTHOVEN;00TL00;Het Nieuwe Lyceum;DE BILT;Het Nieuwe Lyceum Scholengemeenschap voor Gymnasium Atheneum en Havo;Jan Steenlaan 38, 3723 BV BILTHOVEN;Jan Steenlaan;38;3723 BV;BILTHOVEN;Algemeen bijzonder
DE BILT;BILTHOVEN;17WP00;Werkpl Kindergem Sch;DE BILT;Werkplaats Kindergemeenschap;Kees Boekelaan 12, 3723 BA BILTHOVEN;Kees Boekelaan;12;3723 BA;BILTHOVEN;Algemeen bijzonder
DE BILT;MAARTENSDIJK;25GV08;AOC Groenhorst Maartensijk;DE BILT;Agrarisch Opleidingen Centrum Groenhorst;Dierenriem 2, 3738 TR MAARTENSDIJK;Dierenriem;2;3738 TR;MAARTENSDIJK;Samenwerking PC, RK
DE BILT;BILTHOVEN;25GV11;AOC Groenhorst Bilthoven;DE BILT;Agrarisch Opleidingen Centrum Groenhorst;Overboslaan 15, 3722 BJ BILTHOVEN;Overboslaan;15;3722 BJ;BILTHOVEN;Samenwerking PC, RK
DE RONDE VENEN;MIJDRECHT;05RA00;Veenlanden College Mijdrecht;DE RONDE VENEN;Veenlanden College PC SGM v Mavo Havo Atheneum;Diamant 9, 3641 XR MIJDRECHT;Diamant;9;3641 XR;MIJDRECHT;Samenwerking PC, RK
DE RONDE VENEN;VINKEVEEN;05RA01;Veenlanden College Vinkeveen;DE RONDE VENEN;Veenlanden College PC SGM v Mavo Havo Atheneum;Bonkestekersweg 1, 3645 KZ VINKEVEEN;Bonkestekersweg;1;3645 KZ;VINKEVEEN;Samenwerking PC, RK
DELFT;DELFT;01GX00;Chr Lyceum Delft;DELFT;Christelijk Lyceum Delft Scholengemeenschap voor Lyceum Havo Mavo Vbo;Molenhuispad 1, 2614 GE DELFT;Molenhuispad;1;2614 GE;DELFT;Protestants-Christelijk
DELFT;DELFT;01GX02;Chr Lyceum Delft, Hof van Delft;DELFT;Christelijk Lyceum Delft Scholengemeenschap voor Lyceum Havo Mavo Vbo;Obrechtstraat 48, 2625 XN DELFT;Obrechtstraat;48;2625 XN;DELFT;Protestants-Christelijk
DELFT;DELFT;01GX03;Chr Lyceum Delft, SC Delfland;DELFT;Christelijk Lyceum Delft Scholengemeenschap voor Lyceum Havo Mavo Vbo;Juniusstraat 6, 2625 XZ DELFT;Juniusstraat;6;2625 XZ;DELFT;Protestants-Christelijk
DELFT;DELFT;02DZ00;Sint Stanislascollege;DELFT;St Stanislascoll RK SGM v Lyc Havo Mavo Vbo Lwoo;Westplantsoen 71, 2613 GK DELFT;Westplantsoen;71;2613 GK;DELFT;Rooms-Katholiek
DELFT;DELFT;02DZ02;Sint Stanislascollege Krakeelpolderweg;DELFT;St Stanislascoll RK SGM v Lyc Havo Mavo Vbo Lwoo;Krakeelpolderweg 1, 2613 NV DELFT;Krakeelpolderweg;1;2613 NV;DELFT;Rooms-Katholiek
DELFT;DELFT;02DZ04;Sint Stanislascollege, Reinier de Graaf;DELFT;St Stanislascoll RK SGM v Lyc Havo Mavo Vbo Lwoo;Reinier de Graafpad 1, 2625 DT DELFT;Reinier de Graafpad;1;2625 DT;DELFT;Rooms-Katholiek
DELFT;DELFT;20AB00;Grotius College;DELFT;Grotius College voor Lyceum Havo Mavo Vbo Lwoo;Juniusstraat 8, 2625 XZ DELFT;Juniusstraat;8;2625 XZ;DELFT;Openbaar
DELFT;DELFT;20AB06;Grotius College, SC Delfland;DELFT;Grotius College voor Lyceum Havo Mavo Vbo Lwoo;Juniusstraat 6, 2625 XZ DELFT;Juniusstraat;6;2625 XZ;DELFT;Openbaar
DEURNE;DEURNE;02QP00;St Willibrord Gymnasium;DEURNE;St Willibrord Gymnasium;Beukenstraat 80, 5753 GD DEURNE;Beukenstraat;80;5753 GD;DEURNE;Rooms-Katholiek
DEURNE;DEURNE;17VP00;Peelland College;DEURNE;Instelling Voortgezet Onderwijs Deurne voor ATH HAVO MAVO VBO LWOO;Vloeieindsedreef 5, 5753 SM DEURNE;Vloeieindsedreef;5;5753 SM;DEURNE;Rooms-Katholiek
DEURNE;DEURNE;17VP01;Alfrinkcollege;DEURNE;"Instelling Voortgezet Onderwijs Deurne; Alfrinkcollege  ATH HAVO MAVO VBO LWOO";Burgemeester Roefslaan 11, 5753 GX DEURNE;Burgemeester Roefslaan;11;5753 GX;DEURNE;Rooms-Katholiek
DEURNE;DEURNE;17VP02;Hub van Doornecollege;DEURNE;Instelling Voortgezet Onderwijs Deurne -   Hub van Doornecollege;Vloeieindsedreef 1, 5753 SM DEURNE;Vloeieindsedreef;1;5753 SM;DEURNE;Rooms-Katholiek
DEVENTER;DEVENTER;01VJ00;Het Slatink;DEVENTER;Etty Hillesum Lyceum voor Gymnasium Atheneum Havo Vmbo Pro;Lebuinuslaan 1, 7415 DM DEVENTER;Lebuinuslaan;1;7415 DM;DEVENTER;Algemeen bijzonder
DEVENTER;DEVENTER;01VJ04;Etty Hillesum Lyceum;DEVENTER;Etty Hillesum Lyceum voor Gymnasium Atheneum Havo Vmbo Pro;Het Vlier 1, 7414 AR DEVENTER;Het Vlier;1;7414 AR;DEVENTER;Algemeen bijzonder
DEVENTER;DEVENTER;01VJ05;De Keurkamp;DEVENTER;Etty Hillesum Lyceum voor Gymnasium Atheneum Havo Vmbo Pro;Ludgerstraat 1, 7415 DV DEVENTER;Ludgerstraat;1;7415 DV;DEVENTER;Algemeen bijzonder
DOETINCHEM;DOETINCHEM;01IC01;AOC Oost Lyceum;DOETINCHEM;AOC Oost;Gezellenlaan 14, 7005 AZ DOETINCHEM;Gezellenlaan;14;7005 AZ;DOETINCHEM;Algemeen bijzonder
DOETINCHEM;DOETINCHEM;01IC18;AOC Oost vmbo Groen;DOETINCHEM;Agrarisch Opleidingen Centrum Oost;Gildenbroederslaan 3, 7005 BM DOETINCHEM;Gildenbroederslaan;3;7005 BM;DOETINCHEM;Algemeen bijzonder
DOETINCHEM;DOETINCHEM;02FC00;PC College Ulenhof;DOETINCHEM;PC SGM Ulenhof College v Ath Havo Mavo Vbo Lwoo;Bizetlaan 86, 7002 LZ DOETINCHEM;Bizetlaan;86;7002 LZ;DOETINCHEM;Protestants-Christelijk
DOETINCHEM;DOETINCHEM;02NZ00;Ludger College;DOETINCHEM;Ludger College voor Lyceum Havo Mavo Vbo Lwoo;Vondelstraat 5, 7002 AN DOETINCHEM;Vondelstraat;5;7002 AN;DOETINCHEM;Samenwerking PC, RK
DOETINCHEM;DOETINCHEM;02NZ01;Metzo College;DOETINCHEM;Ludger College voor Lyceum Havo Mavo Vbo Lwoo;Maria Montessoristraat 5, 7008 CA DOETINCHEM;Maria Montessoristraat;5;7008 CA;DOETINCHEM;Samenwerking PC, RK
DOETINCHEM;DOETINCHEM;20AD00;Rietveld Lyceum;DOETINCHEM;Rietveld Lyceum Scholengemeenschap voor Gymn Ath Havo Mavo;Kruisbergseweg 4, 7009 BP DOETINCHEM;Kruisbergseweg;4;7009 BP;DOETINCHEM;Openbaar
DONGEN;DONGEN;21GZ00;Cambreur College;DONGEN;Kwadrant Scholengroep  RK Regionale Scholengemeenschap voor Vwo Havo en Vmbo;Mgr. Schaepmanlaan 13, 5103 BB DONGEN;Mgr. Schaepmanlaan;13;5103 BB;DONGEN;Rooms-Katholiek
DORDRECHT;DORDRECHT;00PG04;Wartburg College;DORDRECHT;Wartburg College Gereformeerde Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;Prof. Waterinklaan 41, 3312 KM DORDRECHT;Prof. Waterinklaan;41;3312 KM;DORDRECHT;Reformatorisch
DORDRECHT;DORDRECHT;01OE11;Wellantcollege mavo Stek;DORDRECHT;Wellantcollege;Chico Mendesring 825-A, 3315 WX DORDRECHT;Chico Mendesring;825-A;3315 WX;DORDRECHT;Algemeen bijzonder
DORDRECHT;DORDRECHT;01OE12;Wellantcollege;DORDRECHT;Wellantcollege;Groenezoom 400, 3315 LA DORDRECHT;Groenezoom;400;3315 LA;DORDRECHT;Algemeen bijzonder
DORDRECHT;DORDRECHT;02CI00;Insula College;DORDRECHT;Christelijk Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo Insula College;Halmaheiraplein 5, 3312 GH DORDRECHT;Halmaheiraplein;5;3312 GH;DORDRECHT;Protestants-Christelijk
DORDRECHT;DORDRECHT;02CI01;Insula College vmbo;DORDRECHT;Christelijk Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo Insula;Romboutslaan 34, 3312 KP DORDRECHT;Romboutslaan;34;3312 KP;DORDRECHT;Protestants-Christelijk
DORDRECHT;DORDRECHT;02CI02;Insula College mavo;DORDRECHT;Christelijk Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo Insula;Koningstraat 294, 3319 PH DORDRECHT;Koningstraat;294;3319 PH;DORDRECHT;Protestants-Christelijk
DORDRECHT;DORDRECHT;20KZ00;Joh De Wittgymnasium;DORDRECHT;Joh De Wittgymnasium;Oranjepark 11, 3311 LP DORDRECHT;Oranjepark;11;3311 LP;DORDRECHT;Openbaar
DORDRECHT;DORDRECHT;24PY00;Stedelijk Dalton Lyceum;DORDRECHT;Stedelijk Dalton Lyceum voor Lyceum Havo Mavo Vbo Lwoo;Overkampweg 125, 3318 AN DORDRECHT;Overkampweg;125;3318 AN;DORDRECHT;Openbaar
DORDRECHT;DORDRECHT;24PY02;Stedelijk Dalton Lyceum;DORDRECHT;Stedelijk Dalton Lyceum voor Lyceum Havo Mavo Vbo Lwoo;Leerparkpromenade 300, 3312 KW DORDRECHT;Leerparkpromenade;300;3312 KW;DORDRECHT;Openbaar
DORDRECHT;DORDRECHT;24PY05;Stedelijk Dalton Lyceum, Kapteynweg ;DORDRECHT;Stedelijk Dalton Lyceum voor Lyceum Havo Mavo Vbo Lwoo;Kapteynweg 3, 3318 EC DORDRECHT;Kapteynweg;3;3318 EC;DORDRECHT;Openbaar
DRIMMELEN;MADE;01IW03;Dongemond College;DRIMMELEN;Dongemond College voor Atheneum Havo en Vmbo;Kempsstraat 15, 4921 TB MADE;Kempsstraat;15;4921 TB;MADE;Rooms-Katholiek
DRONTEN;DRONTEN;01XN01;Almere College;DRONTEN;Almere College Ontmoetingsschool voor PRO LWOO VMBO HAVO VWO;Educalaan 6-8, 8251 GC DRONTEN;Educalaan;6-8;8251 GC;DRONTEN;Openbaar
DRONTEN;DRONTEN;02VB02;Ichthus College;DRONTEN;Ichthus College Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;Jupiterweg 25, 8251 AW DRONTEN;Jupiterweg;25;8251 AW;DRONTEN;Protestants-Christelijk
DRUTEN;DRUTEN;17IR00;Pax Christi College;DRUTEN;Pax Christi College - scholengemeenschap voor vwo havo vmbo lwoo;Mr. van Coothstraat 34, 6651 ZJ DRUTEN;Mr. van Coothstraat;34;6651 ZJ;DRUTEN;Rooms-Katholiek
DUIVEN;DUIVEN;03RR00;Candea College;DUIVEN;Candea College Atheneum Havo Mavo Vbo;Saturnus 1, 6922 LX DUIVEN;Saturnus;1;6922 LX;DUIVEN;Samenwerking PC, RK
DUIVEN;DUIVEN;03RR07;Candea College, Saturnus II;DUIVEN;Candea College Atheneum Havo Mavo Vbo;Saturnus 3, 6922 LX DUIVEN;Saturnus;3;6922 LX;DUIVEN;Samenwerking PC, RK
EDE;EDE GLD;02UP00;Marnix College;EDE;Marnix College  Scholengemeenschap voor Gymnasium Atheneum Havo Mavo;Prins Bernhardlaan 30, 6713 MC EDE GLD;Prins Bernhardlaan;30;6713 MC;EDE GLD;Samenwerking PC, RK
EDE;EDE GLD;19KZ00;Pallas Athene College;EDE;Pallas Athene College Openbare Scholengemeenschap voor Vwo Havo Mavo Vbo;Koekeltse Boslaan 21, 6715 CW EDE GLD;Koekeltse Boslaan;21;6715 CW;EDE GLD;Openbaar
EDE;EDE GLD;25GE00;CSG Het Streek;EDE;Christelijke Scholengemeenschap Het Streek voor Lyceum Havo Mavo Vbo Lwoo;Bovenbuurtweg 1, 6717 XA EDE GLD;Bovenbuurtweg;1;6717 XA;EDE GLD;Protestants-Christelijk
EDE;EDE GLD;25GE02;CSG Het Streek Zandlaan;EDE;Christelijke Scholengemeenschap Het Streek voor Lyceum Havo Mavo Vbo Lwoo;Zandlaan 25, 6717 LN EDE GLD;Zandlaan;25;6717 LN;EDE GLD;Protestants-Christelijk
EDE;EDE GLD;25GV05;AOC Groenhorst;EDE;Agrarisch Opleidingen Centrum Groenhorst;Zandlaan 31, 6717 LN EDE GLD;Zandlaan;31;6717 LN;EDE GLD;Samenwerking PC, RK
EERSEL;EERSEL;18XR00;Rythovius College;EERSEL;Rythovius College Scholengemeenschap voor Lyc Havo Mavo;Bospoort 1, 5521 CK EERSEL;Bospoort;1;5521 CK;EERSEL;Rooms-Katholiek
EINDHOVEN;EINDHOVEN;00CB02;SGM VO Vrije Schoolond;EINDHOVEN;Scholengemeenschap voor Voortgezet Vrije Schoolonderwijs;Sterrenlaan 16, 5631 KA EINDHOVEN;Sterrenlaan;16;5631 KA;EINDHOVEN;Antroposofisch
EINDHOVEN;EINDHOVEN;01FY00;Augustinianum SGM;EINDHOVEN;Augustinianum Scholengemeenschap voor Vwo en Havo;van Wassenhovestraat 26, 5613 LL EINDHOVEN;van Wassenhovestraat;26;5613 LL;EINDHOVEN;Rooms-Katholiek
EINDHOVEN;EINDHOVEN;02TC00;Christiaan Huygens College;EINDHOVEN;Christiaan Huygens College voor Lyceum Havo Mavo Vbo Lwoo;Rachmaninowlaan 2, 5653 AT EINDHOVEN;Rachmaninowlaan;2;5653 AT;EINDHOVEN;Protestants-Christelijk/Evange
EINDHOVEN;EINDHOVEN;02TC03;Olympia;EINDHOVEN;Christiaan Huygens College voor Lyceum Havo Mavo Vbo Lwoo;Botenlaan 38, 5652 CA EINDHOVEN;Botenlaan;38;5652 CA;EINDHOVEN;Protestants-Christelijk/Evange
EINDHOVEN;EINDHOVEN;02TC04;Frits Philips lyceum;EINDHOVEN;Christiaan Huygens College voor Lyceum Havo Mavo Vbo Lwoo;Broodberglaan 3, 5628 EJ EINDHOVEN;Broodberglaan;3;5628 EJ;EINDHOVEN;Protestants-Christelijk/Evange
EINDHOVEN;EINDHOVEN;20AT00;Sint-Joriscollege;EINDHOVEN;Scholengroep Het Plein voor Ath Gym Havo Mavo Vbo Pro en Lwoo;Roostenlaan 296, 5644 BS EINDHOVEN;Roostenlaan;296;5644 BS;EINDHOVEN;Rooms-Katholiek
EINDHOVEN;EINDHOVEN;20AT01;Aloysius De Roosten;EINDHOVEN;Scholengroep Het Plein voor Ath Gym Havo Mavo Vbo Pro en Lwoo;Saenredamstraat 2, 5643 RR EINDHOVEN;Saenredamstraat;2;5643 RR;EINDHOVEN;Rooms-Katholiek
EINDHOVEN;EINDHOVEN;20AT03;Vakcollege Eindhoven;EINDHOVEN;Scholengroep Het Plein voor Ath Gym Havo Mavo Vbo Pro en Lwoo;Geert Grootestraat 1-01, 5643 RB EINDHOVEN;Geert Grootestraat;1-01;5643 RB;EINDHOVEN;Rooms-Katholiek
EINDHOVEN;EINDHOVEN;20AT07;Pleinschool Helder;EINDHOVEN;Scholengroep Het Plein voor Ath Gym Havo Mavo Vbo Pro en Lwoo;Aalsterweg 285, 5644 RE EINDHOVEN;Aalsterweg;285;5644 RE;EINDHOVEN;Rooms-Katholiek
EINDHOVEN;EINDHOVEN;20BK00;Stedelijk College;EINDHOVEN;Openbaar Stedelijk College Eindhoven voor Atheneum Havo Mavo Vbo Lwoo;Henegouwenlaan 2-2A, 5628 WK EINDHOVEN;Henegouwenlaan;2-2A;5628 WK;EINDHOVEN;Openbaar
EINDHOVEN;EINDHOVEN;20BK01;Stedelijk College Oude Bossche Baan;EINDHOVEN;Openbaar Stedelijk College Eindhoven voor Atheneum Havo Mavo Vbo Lwoo;Oude Bossche Baan 20, 5624 AA EINDHOVEN;Oude Bossche Baan;20;5624 AA;EINDHOVEN;Openbaar
EINDHOVEN;EINDHOVEN;20GA00;Van Maerlantlyceum;EINDHOVEN;Van Maerlantlyceum;Jacob van Maerlantlaan 11, 5615 JS EINDHOVEN;Jacob van Maerlantlaan;11;5615 JS;EINDHOVEN;Rooms-Katholiek
EINDHOVEN;EINDHOVEN;20IB00;Eckartcollege;EINDHOVEN;Eckartcollege voor Lyc Havo Mavo Vbo Lwoo;Damocleslaan 3, 5631 KC EINDHOVEN;Damocleslaan;3;5631 KC;EINDHOVEN;Samenwerking PC, RK
EINDHOVEN;EINDHOVEN;25KX00;Lorentz Casimir Lyceum;EINDHOVEN;Lorentz Casimir Lyceum;Celebeslaan 10-20, 5641 AG EINDHOVEN;Celebeslaan;10-20;5641 AG;EINDHOVEN;Algemeen bijzonder
EINDHOVEN;EINDHOVEN;25LV19;SG De Rooi Pannen;EINDHOVEN;Scholengemeenschap De Rooi Pannen;Kaakstraat 1, 5623 AD EINDHOVEN;Kaakstraat;1;5623 AD;EINDHOVEN;Rooms-Katholiek
EINDHOVEN;EINDHOVEN;25MB00;Summa College;EINDHOVEN;Stg ROC Summa College;Habsburglaan 1, 5616 HV EINDHOVEN;Habsburglaan;1;5616 HV;EINDHOVEN;Algemeen bijzonder
EINDHOVEN;EINDHOVEN;26CC13;Helicon;EINDHOVEN;Helicon Opleidingen;Locatellistraat 5, 5654 JB EINDHOVEN;Locatellistraat;5;5654 JB;EINDHOVEN;Algemeen bijzonder
EINDHOVEN;#N/B;27ZF00;Lyceum Bisschop Bekkers;EINDHOVEN;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B
EINDHOVEN;EINDHOVEN;30BC00;SiNTLUCAS;EINDHOVEN;SiNTLUCAS;Torenallee 75, 5617 BB EINDHOVEN;Torenallee;75;5617 BB;EINDHOVEN;Overige
ELBURG;ELBURG;01FU01;Nuborgh College;ELBURG;Nuborgh College - locatie Lambert Franckens;Lange Wijden 50, 8081 VV ELBURG;Lange Wijden;50;8081 VV;ELBURG;Protestants-Christelijk
ELBURG;ELBURG;17BZ03;Van Kinsbergen college;ELBURG;Scholengemeenschap van de Capellen voor ATH HAVO MAVO VBO LWOO;Paterijstraat 17, 8081 TA ELBURG;Paterijstraat;17;8081 TA;ELBURG;Openbaar
ENSCHEDE;ENSCHEDE;00AH00;t Stedelijk Lyceum;ENSCHEDE;Openbare Scholengemeenschap Het Stedelijk Lyceum Havo Mavo Vbo Lwoo;Lyceumlaan 30, 7522 GK ENSCHEDE;Lyceumlaan;30;7522 GK;ENSCHEDE;Openbaar
ENSCHEDE;ENSCHEDE;00AH07;t Stedelijk Lyceum, locatie Zuid;ENSCHEDE;Openbare Scholengemeenschap Het Stedelijk Lyceum Havo Mavo Vbo Lwoo;Tiemeister 20, 7541 WG ENSCHEDE;Tiemeister;20;7541 WG;ENSCHEDE;Openbaar
ENSCHEDE;ENSCHEDE;00AH17;Stedelijk Vakcollege;ENSCHEDE;Openbare Scholengemeenschap Het Stedelijk Lyceum Havo Mavo Vbo Lwoo;Wethouder Beversstraat 195, 7543 BK ENSCHEDE;Wethouder Beversstraat;195;7543 BK;ENSCHEDE;Openbaar
ENSCHEDE;ENSCHEDE;01IC11;AOC Oost;ENSCHEDE;AOC Oost;Hengelosestraat 481, 7521 AG ENSCHEDE;Hengelosestraat;481;7521 AG;ENSCHEDE;Algemeen bijzonder
ENSCHEDE;ENSCHEDE;17VN01;Bonhoeffer College Geessinkweg;ENSCHEDE;Bonhoeffer College voor Gymnasium, Atheneum, Havo, VMBO, LWOO en PrO;Geessinkweg 100, 7544 ND ENSCHEDE;Geessinkweg;100;7544 ND;ENSCHEDE;Samenwerking PC, RK
ENSCHEDE;ENSCHEDE;17VN05;Bonhoeffer College vd Waalslaan;ENSCHEDE;Bonhoeffer College voor Gymnasium, Atheneum, Havo, VMBO, LWOO en PrO;Van der Waalslaan 35, 7535 CN ENSCHEDE;Van der Waalslaan;35;7535 CN;ENSCHEDE;Samenwerking PC, RK
ENSCHEDE;ENSCHEDE;17VN06;Bonhoeffer College Bruggertstr;ENSCHEDE;Bonhoeffer College voor Gymnasium, Atheneum, Havo, VMBO, LWOO en PrO;Bruggertstraat 60, 7545 AX ENSCHEDE;Bruggertstraat;60;7545 AX;ENSCHEDE;Samenwerking PC, RK
ENSCHEDE;ENSCHEDE;17VN07;Bonhoeffer College Vlierstr;ENSCHEDE;Bonhoeffer College voor Gymnasium, Atheneum, Havo, VMBO, LWOO en PrO;Vlierstraat 85, 7544 GG ENSCHEDE;Vlierstraat;85;7544 GG;ENSCHEDE;Samenwerking PC, RK
ENSCHEDE;ENSCHEDE;17VN09;Bonhoeffer College, wet. Beversstr;ENSCHEDE;Bonhoeffer College voor Gymnasium, Atheneum, Havo, VMBO, LWOO en PrO;Wethouder Beversstraat 195, 7543 BK ENSCHEDE;Wethouder Beversstraat;195;7543 BK;ENSCHEDE;Samenwerking PC, RK
ENSCHEDE;ENSCHEDE;17VS02;Greijdanus College;ENSCHEDE;Prof dr S Greijdanus College voor Vwo Havo Mavo Vbo Lwoo;Deppenbroekstraat 4, 7523 PB ENSCHEDE;Deppenbroekstraat;4;7523 PB;ENSCHEDE;Gereformeerd
EPE;EPE;13JO00;Rsgm Noord Oost Veluwe;EPE;Rsgm Noord Oost Veluwe Ath Havo Mavo Vbo Lwoo;Schotweg 1, 8162 GM EPE;Schotweg;1;8162 GM;EPE;Openbaar
ERMELO;ERMELO;00WI00;Chr. College Groevenbeek;ERMELO;Christelijk College Groevenbeek;Paul Krugerweg 44-50, 3851 ZJ ERMELO;Paul Krugerweg;44-50;3851 ZJ;ERMELO;Protestants-Christelijk
ETTEN-LEUR;ETTEN-LEUR;00KV00;KSE;ETTEN-LEUR;KSE (Katholieke Scholengemeenschap Etten-Leur e.o.);Stijn Streuvelslaan 42, 4873 EB ETTEN-LEUR;Stijn Streuvelslaan;42;4873 EB;ETTEN-LEUR;Rooms-Katholiek
ETTEN-LEUR;ETTEN-LEUR;04YX00;Munnikenheide College;ETTEN-LEUR;Munnikenheide College voor MAVO VBO LWOO;Trivium 60, 4873 LP ETTEN-LEUR;Trivium;60;4873 LP;ETTEN-LEUR;Rooms-Katholiek
GEERTRUIDENBERG;RAAMSDONKSVEER;01IW00;Dongemond College;GEERTRUIDENBERG;Dongemond College voor Atheneum Havo en Vmbo;Collegeweg 1, 4942 VC RAAMSDONKSVEER;Collegeweg;1;4942 VC;RAAMSDONKSVEER;Rooms-Katholiek
GELDERMALSEN;GELDERMALSEN;19EW05;de Lingeborgh;GELDERMALSEN;O.R.S. Lek en Linge vestiging de Lingeborgh voor vwo havo vmbo lwoo;Laan van Leeuwenstein 2, 4191 NB GELDERMALSEN;Laan van Leeuwenstein;2;4191 NB;GELDERMALSEN;Openbaar
