GEMEENTENAAM VESTIGING;ADRES PLAATS;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;TITELGEMEENTEN;ADRES-naam;ADRES;ADRES_STRAAT;ADRES-NR;ADRES_PC;ADRES PLAATS;DENOMINATIE
BAARLE-NASSAU;BAARLE-NASSAU;25GC08;De la Salle;BAARLE-NASSAU;Scholengemeenschap Breda voor Katholiek Lyceum Havo Mavo Vbo Lwoo;Sportlaan 1, 5111 BX BAARLE-NASSAU;Sportlaan;1;5111 BX;BAARLE-NASSAU;Rooms-Katholiek
BAARN;BAARN;00YO00;Prot Chr Mavo Waldheim;BAARN;Protestants Christelijk Mavo Waldheim;Torenlaan 81, 3742 CS BAARN;Torenlaan;81;3742 CS;BAARN;Protestants-Christelijk
BAARN;BAARN;02TG00;Het Baarnsch Lyceum;BAARN;Het Baarnsch Lyceum;Torenlaan 83, 3742 CS BAARN;Torenlaan;83;3742 CS;BAARN;Algemeen bijzonder
BARENDRECHT;BARENDRECHT;11UL03;Edudelta;BARENDRECHT;Agrarisch Opleidingen Centrum Edudelta Onderwijsgroep;Dierensteinweg 2, 2991 XJ BARENDRECHT;Dierensteinweg;2;2991 XJ;BARENDRECHT;Algemeen bijzonder
BARENDRECHT;BARENDRECHT;16PK04;Calvijn Focus Beroepsacademie;BARENDRECHT;Calvijn Chr. SGM voor vwo havo mavo vmbo lwoo, loc. Focus;Dierensteinweg 4-4A, 2991 XJ BARENDRECHT;Dierensteinweg;4-4A;2991 XJ;BARENDRECHT;Protestants-Christelijk
BARENDRECHT;BARENDRECHT;16PK09;Calvijn Groene Hart;BARENDRECHT;Calvijn Chr. SGM voor vwo havo mavo vmbo lwoo, loc. Groene Hart;Haarspitwei 11, 2992 ZB BARENDRECHT;Haarspitwei;11;2992 ZB;BARENDRECHT;Protestants-Christelijk
BARENDRECHT;BARENDRECHT;18TR07;Dalton Barendrecht;BARENDRECHT;Onderwijsgroep Zuid-Hollandse Waarden locatie Dalton Barendrecht;Zichtwei 1, 2992 ZA BARENDRECHT;Zichtwei;1;2992 ZA;BARENDRECHT;Openbaar
BARENDRECHT;BARENDRECHT;18TR11;Dalton Focus Beroepsacademie;BARENDRECHT;Onderwijsgroep Zuid-Hollandse Waarden locatie  Focus;Botter 135, 2991 PE BARENDRECHT;Botter;135;2991 PE;BARENDRECHT;Openbaar
BARNEVELD;BARNEVELD;00SZ00;Joh Fontanus College;BARNEVELD;Johannes Fontanus College Christelijk Scholengemeenschap voor Mavo Havo Atheneum;Wethouder Rebellaan 135, 3771 KA BARNEVELD;Wethouder Rebellaan;135;3771 KA;BARNEVELD;Protestants-Christelijk
BARNEVELD;BARNEVELD;01MU00;De Meerwaarde;BARNEVELD;De Meerwaarde;Rietberglaan 6, 3771 RD BARNEVELD;Rietberglaan;6;3771 RD;BARNEVELD;Protestants-Christelijk
BERG EN DAL;GROESBEEK;00RZ01;Montessori College;BERG EN DAL;Montessori College voor Atheneum Havo Mavo Vbo Lwoo;Spoorlaan 16, 6562 AM GROESBEEK;Spoorlaan;16;6562 AM;GROESBEEK;Algemeen bijzonder
BERG EN DAL;UBBERGEN;02QQ00;Notre Dame Des Anges;BERG EN DAL;Notre Dame Des Anges Havo;Kasteelselaan 50, 6574 AJ UBBERGEN;Kasteelselaan;50;6574 AJ;UBBERGEN;Rooms-Katholiek
