"GEMEENTENAAM.VESTIGING";"schoolnaam";"totaal.leerlingen";"geslaagd.vmbo";"cijfer.vmbo";"geslaagd.havo";"cijfer.havo";"geslaagd.vwo";"cijfer.vwo";"denominatie";"percentage.zittenblijvers";"percentage.opstromers"
"EDE";"Marnix College";"1.036";95,7142857142857;6,6;93,5185185185185;6,49444444444444;95,4954954954955;6,71171171171171;"Samenwerking PC, RK";9,75;0,77
"EDE";"Pallas Athene College";"1.123";89,1891891891892;6,5;83,7209302325581;6,41395348837209;90,3225806451613;6,79516129032258;"Openbaar";6,32;14,07
"GELDERMALSEN";"de Lingeborgh";"1.279";96,830985915493;6,54154929577465;0;0;0;0;"Openbaar";2,81;6,18
"GENNEP";"Elzendaalcollege";"482";98,1651376146789;6,83394495412844;0;0;0;0;"Rooms-Katholiek";1,45;3,11
"GRAVE";"Merletcollege";"701";97,9865771812081;6,70335570469799;90,7407407407407;6,60740740740741;0;0;"Rooms-Katholiek";4,71;7,56
"LINGEWAARD";"Over Betuwe College junior";"471";94,8717948717949;6,6;0;0;0;0;"Rooms-Katholiek";6,79;5,52
"LINGEWAARD";"Over Betuwe College";"1.380";0;0;87,3563218390805;6,41954022988506;90,1098901098901;6,7021978021978;"Rooms-Katholiek";6,67;0,43
"LINGEWAARD";"Over Betuwe College Huissen";"785";99,438202247191;6,72134831460674;0;0;0;0;"Rooms-Katholiek";1,15;2,8
"MILL EN SINT HUBERT";"Merletcollege";"440";100;6,61140350877193;0;0;0;0;"Rooms-Katholiek";1,14;16,82
"MONTFERLAND";"Liemers College";"517";96,4285714285714;6,6375;0;0;0;0;"Samenwerking PC, RK";2,13;9,09
"MOOK EN MIDDELAAR";"Kandinsky College";"271";89,3939393939394;6,2530303030303;0;0;0;0;"Rooms-Katholiek";2,95;13,28
"NEDER-BETUWE";"VMBO Kesteren";"296";91,6666666666667;6,725;0;0;0;0;"Algemeen bijzonder";1,01;1,69
"NEDER-BETUWE";"Pantarijn SGM";"280";94;6,5;0;0;0;0;"Openbaar";1,79;26,07
"NEDER-BETUWE";"Van Lodensteincollege";"1.140";89,5424836601307;6,4483660130719;96,4285714285714;6,71785714285714;0;0;"Reformatorisch";2,63;1,93
"NIJMEGEN";"Canisius College";"1.459";94,1176470588235;6,6;83,695652173913;6,37717391304348;88,9655172413793;6,78965517241379;"Rooms-Katholiek";6,58;16,45
"NIJMEGEN";"Canisius - t Rijks vmbo";"493";92,8057553956834;6,52517985611511;0;0;0;0;"Rooms-Katholiek";3,65;1,42
"NIJMEGEN";"Citadel College, Dijkstraat";"417";100;6,7875;0;0;0;0;"Samenwerking PC, RK";0,48;0,96
"NIJMEGEN";"Citadel College, Griftdijk";"918";97,5;6,7;87,3239436619718;6,4112676056338;100;6,85454545454546;"Samenwerking PC, RK";5,66;5,01
"NIJMEGEN";"Dominicus";"1.084";0;0;86,4197530864197;6,33950617283951;85,8585858585859;6,55353535353535;"Rooms-Katholiek";9,96;0,55
"NIJMEGEN";"Helicon";"496";97,5609756097561;6,4780487804878;0;0;0;0;"Algemeen bijzonder";3,43;7,46
"NIJMEGEN";"Jorismavo";"130";94,7368421052632;6,6;0;0;0;0;"Rooms-Katholiek";3,85;6,15
"NIJMEGEN";"Kandinsky - t Rijks vmbo";"461";95,3271028037383;6,45794392523364;0;0;0;0;"Rooms-Katholiek";9,54;1,95
"NIJMEGEN";"Kandinsky College";"1.524";93,1506849315068;6,6;88,9705882352941;6,44191176470588;88,5964912280702;6,70964912280702;"Rooms-Katholiek";5,84;4,79
"NIJMEGEN";"Mondial College, loc. Leuvensebroek";"819";0;0;84,7619047619048;6,51619047619048;87,5;6,625;"Openbaar";5,49;4,52
"NIJMEGEN";"Mondial College, loc. Meeuwsw Acker";"863";97,1698113207547;6,58679245283019;0;0;0;0;"Openbaar";5,21;1,27
"NIJMEGEN";"Montessori College";"1.594";94,8616600790514;6,56166007905138;85,8974358974359;6,45384615384615;91,6666666666667;6,76666666666667;"Algemeen bijzonder";5,08;2,45
"NIJMEGEN";"NSG Groenewoud";"1.625";93,9759036144578;6,5;85,7142857142857;6,36541353383459;92,1739130434783;6,69826086956522;"Algemeen bijzonder";5,72;5,29
"NIJMEGEN";"Karel de Grote College";"827";77,5;6,4;93,75;6,62916666666667;96,6666666666667;6,97333333333333;"Antroposofisch";9,55;11,37
"NIJMEGEN";"Stedelijk Gymnasium";"1.329";0;0;0;0;96,1538461538462;7,09086538461538;"Openbaar";4,14;0
"NIJMEGEN";"Stedelijke SGM Nijmegen";"1.382";94,059405940594;6,6;91,1111111111111;6,53851851851852;90;6,855;"Openbaar";8,54;13,31
"OOST GELRE";"Marianum, Groenlo";"1.020";95,8904109589041;6,77123287671233;89,3617021276596;6,4531914893617;94,0298507462687;6,69402985074627;"Rooms-Katholiek";7,45;1,27
"OOST GELRE";"Marianum, Lichtenvoorde";"848";97,5;6,66291666666667;0;0;0;0;"Rooms-Katholiek";2,71;3,54
"OUDE IJSSELSTREEK";"Almende College";"1.050";0;0;88,3211678832117;6,43503649635037;91,566265060241;6,71325301204819;"Rooms-Katholiek";8,48;0,19
"OUDE IJSSELSTREEK";"Almende College, Bluemers";"522";94,2307692307692;6,75480769230769;0;0;0;0;"Rooms-Katholiek";4,79;9,2
