BRINNUMMER;INSTELLINGSNAAM_VESTIGING;VESTIGINGSNUMMER;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;AANTAL_LEERLINGEN;AANTAL_ZITTENBLIJVERS;AANTAL_AFSTROMERS;AANTAL_OPSTROMERS
04HR;Openbare Scholengemeenschap Erasmus Lyceum Havo Mavo Vbo Lwoo;07;ALMELO;0141;ALMELO;Overijssel;230;100;0;6
04IX;Kalsbeek College Christelijke Scholengemeenschap voor Vmbo, Havo, Ath. en Gymn.;00;WOERDEN;0632;WOERDEN;Utrecht;1467;96;25;39
04IX;Kalsbeek College Christelijke Scholengemeenschap voor Vmbo, Havo, Ath. en Gymn.;01;WOERDEN;0632;WOERDEN;Utrecht;1185;23;5;41
04OY;Carmel College Salland Katholieke Scholengemeenschap;00;RAALTE;0177;RAALTE;Overijssel;1150;43;29;25
04OY;Carmel College Salland Katholieke Scholengemeenschap;02;RAALTE;0177;RAALTE;Overijssel;1511;96;72;57
04SU;Voortgezet Onderwijs Veghel;00;VEGHEL;1948;MEIERIJSTAD;Noord-Brabant;1529;95;68;21
04SU;Voortgezet Onderwijs Veghel, Fioretti College;02;VEGHEL;1948;MEIERIJSTAD;Noord-Brabant;1260;35;56;37
04XU;Baanderherencollege Vmbo;00;BOXTEL;0757;BOXTEL;Noord-Brabant;687;7;3;6
04YE;Openbare Scholengemeenschap Singelland voor Lyceum Havo Mavo Vbo Lwoo;00;DRACHTEN;0090;SMALLINGERLAND;Friesland;951;39;34;98
04YE;Openbare Scholengemeenschap Singelland voor Lyceum Havo Mavo Vbo Lwoo;01;BURGUM;0737;TYTSJERKSTERADIEL;Friesland;347;6;21;28
04YE;Openbare Scholengemeenschap Singelland voor Lyceum Havo Mavo Vbo Lwoo;02;SURHUISTERVEEN;0059;ACHTKARSPELEN;Friesland;507;4;15;25
04YE;Openbare Scholengemeenschap Singelland voor Lyceum Havo Mavo Vbo Lwoo;03;DRACHTEN;0090;SMALLINGERLAND;Friesland;1371;61;76;12
04YE;Openbare Scholengemeenschap Singelland voor Lyceum Havo Mavo Vbo Lwoo;08;DRACHTEN;0090;SMALLINGERLAND;Friesland;179;73;0;1
04YE;Openbare Scholengemeenschap Singelland voor Lyceum Havo Mavo Vbo Lwoo;11;BURGUM;0737;TYTSJERKSTERADIEL;Friesland;69;16;0;0
04YE;Openbare Scholengemeenschap Singelland voor Lyceum Havo Mavo Vbo Lwoo;12;DRACHTEN;0090;SMALLINGERLAND;Friesland;18;5;0;0
04YX;Munnikenheide College voor MAVO VBO LWOO;00;ETTEN-LEUR;0777;ETTEN-LEUR;Noord-Brabant;746;174;24;12
