"VESTIGINGSNAAM";"GEMEENTENAAM";"DENOMINATIE";"totaal.leerlingen";"percentage.vmbo";"percentage.havo";"percentage.vwo";"geslaagd.vmbo";"cijfer.vmbo";"geslaagd.havo";"cijfer.havo";"geslaagd.vwo";"cijfer.vwo";"percentage.zittenblijvers";"percentage.opstromers"
"Het Stedelijk Lyceum, De Stedelijke Mavo ";"ENSCHEDE";"Openbaar";177;"100";"0";"0";"89.3939393939394";"6.5";"-";"-";"-";"-";"6.08974358974359";"4.80769230769231"
"Het Stedelijk Lyceum, Innova ";"ENSCHEDE";"Openbaar";118;"89.8305084745763";"10.1694915254237";"0";"92.3076923076923";"6.61538461538461";"-";"-";"-";"-";"19.327731092437";"2.52100840336134"
"Het Stedelijk Lyceum, locatie Kottenpark";"ENSCHEDE";"Openbaar";668;"0";"42.6646706586826";"57.3353293413174";"-";"-";"91.5789473684211";"6.6178947368421";"94.2857142857143";"6.73";"11.199207135778";"15.9563924677899"
"Het Stedelijk Lyceum, locatie Zuid";"ENSCHEDE";"Openbaar";540;"39.2592592592593";"33.7037037037037";"27.037037037037";"89.8989898989899";"6.48686868686869";"82.8125";"6.425";"82.8571428571429";"6.62";"11.1549851924975";"11.4511352418559"
"Het Stedelijk Lyceum, Stedelijk Vakcollege";"ENSCHEDE";"Openbaar";317;"100";"0";"0";"85.1063829787234";"6.4468085106383";"-";"-";"-";"-";"5.2901023890785";"0.853242320819113"
"Zone.college vmbo Enschede";"ENSCHEDE";"Overige";383;"100";"0";"0";"96.3235294117647";"6.54779411764706";"-";"-";"-";"-";"-";"-"
"Het Assink lyceum";"HAAKSBERGEN";"Rooms-Katholiek";647;"0";"61.6692426584235";"38.3307573415765";"-";"-";"80.7407407407407";"6.37037037037037";"90.9090909090909";"6.66590909090909";"8.09031044214487";"0"
"Het Assink lyceum";"HAAKSBERGEN";"Rooms-Katholiek";220;"100";"0";"0";"94.1860465116279";"6.6";"-";"-";"-";"-";"3.46938775510204";"3.6734693877551"
"De Zeven Linden";"HARDENBERG";"Openbaar";430;"46.7441860465116";"35.5813953488372";"17.6744186046512";"95.7746478873239";"6.59577464788732";"83.3333333333333";"6.51666666666667";"75";"6.6";"4.82758620689655";"5.05747126436782"
"Greijdanus College";"HARDENBERG";"Gereformeerd";632;"56.6455696202532";"21.6772151898734";"21.6772151898734";"97.1830985915493";"6.55633802816901";"92.7536231884058";"6.75942028985507";"87.5";"6.55625";"1.78970917225951";"3.24384787472036"
"Sgm de Nieuwe Veste";"HARDENBERG";"Openbaar";214;"68.6915887850467";"31.3084112149533";"0";"95.3846153846154";"6.57692307692308";"66.6666666666667";"6.30555555555556";"-";"-";"4.15584415584416";"3.63636363636364"
"Vechtdal College";"HARDENBERG";"Samenwerking PC, RK";1224;"38.4803921568627";"33.0882352941176";"28.4313725490196";"94.017094017094";"6.43119658119658";"81.8181818181818";"6.475";"87.3417721518987";"6.69240506329114";"5.74650912996778";"3.06122448979592"
"Vechtdal College Dedemsvaart";"HARDENBERG";"Samenwerking PC, RK";191;"80.6282722513089";"13.0890052356021";"6.282722513089";"100";"6.41625";"-";"-";"-";"-";"3.61702127659574";"6.38297872340426"
"Chr SGM Reggesteyn, loc. Noetselerbergweg";"HELLENDOORN";"Protestants-Christelijk";996;"0";"57.7309236947791";"42.2690763052209";"-";"-";"90.7317073170732";"6.45317073170732";"100";"6.83387096774194";"7.96777081468218";"2.50671441360788"
"Chr SGM Reggesteyn, loc. W. de Clercqstraat";"HELLENDOORN";"Protestants-Christelijk";262;"100";"0";"0";"98.3606557377049";"6.52622950819672";"-";"-";"-";"-";"1.66666666666667";"3.33333333333333"
"Bataafs Lyceum";"HENGELO";"Openbaar";743;"0";"32.9744279946164";"67.0255720053836";"-";"-";"85.5555555555556";"6.34";"90.9090909090909";"6.67818181818182";"7.00636942675159";"0.212314225053079"
"De Spindel, Krugerstraat";"HENGELO";"Samenwerking PC, RK";562;"100";"0";"0";"96.1538461538462";"6.55653846153846";"-";"-";"-";"-";"6.04651162790698";"0.930232558139535"
"Gilde College";"HENGELO";"Openbaar";207;"100";"0";"0";"89";"6.58";"-";"-";"-";"-";"5.39083557951483";"3.77358490566038"
"Montessori College Twente";"HENGELO";"Openbaar";1117;"31.3339301700985";"40.0179051029543";"28.6481647269472";"96.9879518072289";"6.60963855421687";"90.1408450704225";"6.6169014084507";"81.8181818181818";"6.61136363636364";"5.67685589519651";"6.17592014971928"
