"VESTIGINGSNAAM";"GEMEENTENAAM";"DENOMINATIE";"totaal.leerlingen";"percentage.vmbo";"percentage.havo";"percentage.vwo";"geslaagd.vmbo";"cijfer.vmbo";"geslaagd.havo";"cijfer.havo";"geslaagd.vwo";"cijfer.vwo";"percentage.zittenblijvers";"percentage.opstromers"
"Antoniuscollege, Carmelcollege Gouda";"GOUDA";"Rooms-Katholiek";588;"0";"72.7891156462585";"27.2108843537415";"-";"-";"93.0232558139535";"6.54186046511628";"86.1111111111111";"6.67222222222222";"6.2415196743555";"2.98507462686567"
"Coornhert Gymnasium";"GOUDA";"Openbaar";723;"0";"0";"100";"-";"-";"-";"-";"92.8571428571429";"6.93660714285714";"3.80952380952381";"0"
"De Meander, Carmelcollege Gouda";"GOUDA";"Rooms-Katholiek";147;"100";"0";"0";"98.3333333333333";"6.78333333333333";"-";"-";"-";"-";"14.1711229946524";"2.13903743315508"
"Driestar College";"GOUDA";"Reformatorisch";2385;"27.7148846960168";"38.5324947589098";"33.7526205450734";"98.2456140350877";"6.70058479532164";"91.1917098445596";"6.61968911917098";"99.1071428571429";"6.975";"2.8493894165536";"1.89959294436906"
"GSG Leo Vroman";"GOUDA";"Openbaar";1070;"27.4766355140187";"41.4018691588785";"31.1214953271028";"87.962962962963";"6.36574074074074";"75";"6.245";"90.9090909090909";"6.73506493506494";"7.01643489254109";"8.97597977243995"
"SGM De Goudse Waarden, lyceum";"GOUDA";"Protestants-Christelijk";938;"0";"48.7206823027719";"51.2793176972281";"-";"-";"94.1605839416058";"6.65036496350365";"95.049504950495";"6.7970297029703";"6.73162090345438";"0.0885739592559787"
"SGM De Goudse Waarden, Praktijkonderwijs";"GOUDA";"Protestants-Christelijk";362;"100";"0";"0";"94.4162436548223";"6.53756345177665";"-";"-";"-";"-";"4.02777777777778";"2.36111111111111"
"Wellantcollege";"GOUDA";"Algemeen bijzonder";180;"100";"0";"0";"96.3855421686747";"6.7289156626506";"-";"-";"-";"-";"3.43915343915344";"7.14285714285714"
"CSG Willem De Zwijger";"KRIMPENERWAARD";"Protestants-Christelijk";654;"19.5718654434251";"37.7675840978593";"42.6605504587156";"93.1818181818182";"6.37840909090909";"88.7323943661972";"6.63802816901408";"100";"6.69166666666667";"3.37972166998012";"9.44333996023857"
"Driestar College";"KRIMPENERWAARD";"Reformatorisch";290;"41.7241379310345";"42.4137931034483";"15.8620689655172";"92.7710843373494";"6.67590361445783";"-";"-";"-";"-";"0.934579439252336";"3.73831775700935"
"Gemini Lekkerkerk";"KRIMPENERWAARD";"Openbaar";351;"88.6039886039886";"11.3960113960114";"0";"93.2960893854749";"6.47541899441341";"-";"-";"-";"-";"5.23076923076923";"10.3076923076923"
"Het Schoonhovens College";"KRIMPENERWAARD";"Openbaar";661;"31.3161875945537";"32.2239031770045";"36.4599092284418";"98.6301369863014";"6.51232876712329";"94.2528735632184";"6.55057471264368";"95.1219512195122";"6.70975609756098";"5.12540894220284";"3.70774263904035"
"Het Schoonhovens College, Vlisterweg";"KRIMPENERWAARD";"Openbaar";215;"100";"0";"0";"98.4126984126984";"6.78412698412698";"-";"-";"-";"-";"1.0351966873706";"0.62111801242236"
"Wellantcollege";"MONTFOORT";"Algemeen bijzonder";432;"100";"0";"0";"95.9798994974874";"6.79095477386935";"-";"-";"-";"-";"0.493827160493827";"9.87654320987654"
"Ashram College";"NIEUWKOOP";"Rooms-Katholiek";129;"100";"0";"0";"98.8372093023256";"6.73953488372093";"-";"-";"-";"-";"2.25352112676056";"4.22535211267606"
"Coenecoop College";"WADDINXVEEN";"Openbaar";731;"34.8837209302326";"38.4404924760602";"26.6757865937073";"99.2805755395683";"6.63237410071943";"93.1818181818182";"6.62045454545455";"94.2857142857143";"6.54857142857143";"5.88853838065195";"1.89274447949527"
"Kalsbeek College, loc. Bredius";"WOERDEN";"Protestants-Christelijk";633;"100";"0";"0";"97.8891820580475";"6.58548812664908";"-";"-";"-";"-";"1.94092827004219";"3.45991561181435"
"Kalsbeek College, loc. Schilderspark";"WOERDEN";"Protestants-Christelijk";1017;"0";"58.4070796460177";"41.5929203539823";"-";"-";"91.6167664670659";"6.56766467065868";"98.5507246376812";"6.80289855072464";"6.5439672801636";"2.65848670756646"
"Minkema College, loc. Mink";"WOERDEN";"Openbaar";1662;"0";"42.9602888086643";"57.0397111913357";"-";"-";"90.0552486187845";"6.43370165745856";"96.4601769911504";"6.8212389380531";"6.21820237422272";"0.226116449971735"
"Minkema College, loc. Stein";"WOERDEN";"Openbaar";374;"100";"0";"0";"98.7124463519313";"6.69570815450644";"-";"-";"-";"-";"21.7543859649123";"4.44444444444444"
"Comenius College Nieuwerkerk";"ZUIDPLAS";"Protestants-Christelijk";244;"39.7540983606557";"48.7704918032787";"11.4754098360656";"98.5507246376812";"6.40434782608696";"-";"-";"-";"-";"5.42452830188679";"15.8018867924528"
"Thorbecke VO";"ZUIDPLAS";"Openbaar";235;"88.936170212766";"11.063829787234";"0";"86.5853658536585";"6.4";"-";"-";"-";"-";"6.63265306122449";"11.2244897959184"
