VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;Plaats;Gemeente;DENOMINATIE
23YU00;Nova College;ROTTERDAM;ROTTERDAM;Samenwerking PC, RK, Alg. Bijz
23YU01;Slinge;ROTTERDAM;ROTTERDAM;Samenwerking PC, RK, Alg. Bijz
23YU02;Montfort College;ROTTERDAM;ROTTERDAM;Samenwerking PC, RK, Alg. Bijz
23YU04;Charles de Foucauld;SPIJKENISSE;NISSEWAARD;Samenwerking PC, RK, Alg. Bijz
23YU08;Palmentuin;ROTTERDAM;ROTTERDAM;Samenwerking PC, RK, Alg. Bijz
24PY00;Stedelijk Dalton Lyceum;DORDRECHT;DORDRECHT;Openbaar
24PY02;Stedelijk Dalton Lyceum;DORDRECHT;DORDRECHT;Openbaar
24PY05;Stedelijk Dalton Lyceum, Kapteynweg ;DORDRECHT;DORDRECHT;Openbaar
24TF00;Staring College;LOCHEM;LOCHEM;Openbaar
24TF01;Staring College Beukenlaan;BORCULO;BERKELLAND;Openbaar
24TF02;Staring College Herenlaan;BORCULO;BERKELLAND;Openbaar
24TJ00;Trajectum College;UTRECHT;UTRECHT;Openbaar
24TP00;Fortis Lyceum;GORINCHEM;GORINCHEM;Openbaar
24TP02;Omnia College;GORINCHEM;GORINCHEM;Openbaar
24TR00;Leidsche Rijn College;UTRECHT;UTRECHT;Openbaar
24TR03;X11 media en vormgeving;UTRECHT;UTRECHT;Openbaar
24TR05;Via Nova College;UTRECHT;UTRECHT;Openbaar
25CL00;RSG Stad en Esch;MEPPEL;MEPPEL;Openbaar
25CL01;RSG Stad en Esch, Beroepencoll;MEPPEL;MEPPEL;Openbaar
25FX00;Reynaert College, loc. Zoutestraat;HULST;HULST;Rooms-Katholiek
25FX01;Reynaert College, loc. Gildenstraat;HULST;HULST;Rooms-Katholiek
25GA00;SCZ - Picasso Lyceum;ZOETERMEER;ZOETERMEER;Openbaar
25GA01;Stedelijk College Zoetermeer;ZOETERMEER;ZOETERMEER;Openbaar
25GC00;Markenhage;BREDA;BREDA;Rooms-Katholiek
25GC01;Tessenderlandt;BREDA;BREDA;Rooms-Katholiek
25GC02;Mencia de Mendoza;BREDA;BREDA;Rooms-Katholiek
25GC03;Mencia Sandrode ;ZUNDERT;ZUNDERT;Rooms-Katholiek
25GC08;De la Salle;BAARLE-NASSAU;BAARLE-NASSAU;Rooms-Katholiek
25GC09;Christoffel;BREDA;BREDA;Rooms-Katholiek
25GC10;Michaël college;BREDA;BREDA;Rooms-Katholiek
25GE00;CSG Het Streek;EDE GLD;EDE;Protestants-Christelijk
25GE02;CSG Het Streek Zandlaan;EDE GLD;EDE;Protestants-Christelijk
25GL00;Beekdal Lyceum;ARNHEM;ARNHEM;Openbaar
25GL04;Vmbo 't Venster;ARNHEM;ARNHEM;Openbaar
25GL06;Montessori College;ARNHEM;ARNHEM;Openbaar
25GV01;AOC Groenhorst;EMMELOORD;NOORDOOSTPOLDER;Samenwerking PC, RK
25GV05;AOC Groenhorst;EDE GLD;EDE;Samenwerking PC, RK
25GV07;AOC Groenhorst;LELYSTAD;LELYSTAD;Samenwerking PC, RK
25GV08;AOC Groenhorst Maartensijk;MAARTENSDIJK;DE BILT;Samenwerking PC, RK
25GV09;AOC Groenhorst;NIJKERK GLD;NIJKERK;Samenwerking PC, RK
25GV10;AOC Groenhorst;VELP GLD;RHEDEN;Samenwerking PC, RK
25GV11;AOC Groenhorst Bilthoven;BILTHOVEN;DE BILT;Samenwerking PC, RK
25KX00;Lorentz Casimir Lyceum;EINDHOVEN;EINDHOVEN;Algemeen bijzonder
25LV00;SG De Rooi Pannen;TILBURG;TILBURG;Rooms-Katholiek
25LV19;SG De Rooi Pannen;EINDHOVEN;EINDHOVEN;Rooms-Katholiek
25LX33;Scala vmbo;TETERINGEN;BREDA;Samenwerking PC, RK, Alg. Bijz
25LX41;Effent mavo;OOSTERHOUT NB;OOSTERHOUT;Samenwerking PC, RK, Alg. Bijz
25MB00;Summa College;EINDHOVEN;EINDHOVEN;Algemeen bijzonder
25MG00;Commanderij College;GEMERT;GEMERT-BAKEL;Algemeen bijzonder
25MG02;Commanderij College, loc. vmbo Gemert;GEMERT;GEMERT-BAKEL;Algemeen bijzonder
25MG03;Commanderij College, loc. vmbo Laarbeek;BEEK EN DONK;LAARBEEK;Algemeen bijzonder
26CC05;VMBO Kesteren;KESTEREN;NEDER-BETUWE;Algemeen bijzonder
26CC06;Helicon;NIJMEGEN;NIJMEGEN;Algemeen bijzonder
26CC08;Helicon;'S-HERTOGENBOSCH;S HERTOGENBOSCH;Algemeen bijzonder
26CC13;Helicon;EINDHOVEN;EINDHOVEN;Algemeen bijzonder
27DG00;De Passie;UTRECHT;UTRECHT;Evangelisch
27RW00;De Passie;ROTTERDAM;ROTTERDAM;Evangelisch
27ZF00;Frits Philips lyceum-mavo;EINDHOVEN;EINDHOVEN;Samenwerking PC, RK
28DB00;Orion Lyceum;BREDA;BREDA;Algemeen bijzonder
29WG00;De Passie;WIERDEN;WIERDEN;Evangelisch
29ZT00;Isaac Beeckman Academie;KAPELLE;KAPELLE;RK,PC,GV,RE,EV,AN,HI,I,J,AB
30AU00;Citadel College, Dijkstraat;LENT;NIJMEGEN;Samenwerking PC, RK
30AU01;Citadel College, Griftdijk;LENT;NIJMEGEN;Samenwerking PC, RK
30BC00;SiNTLUCAS;EINDHOVEN;EINDHOVEN;Overige
30BE00;Houtens;HOUTEN;HOUTEN;Algemeen bijzonder
30EU00;Markland College Zevenbergen;ZEVENBERGEN;MOERDIJK;Rooms-Katholiek
30UB00;UniC;UTRECHT;UTRECHT;Overige
30WH00;Avicenna College, loc. Schere;ROTTERDAM;ROTTERDAM;Islamitisch
30WH01;Avicenna College, loc. Putsebocht;ROTTERDAM;ROTTERDAM;Islamitisch
