BRINNUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;PLAATSNAAM VESTIGING;GEMEENTENUMMER VESTIGING;GEMEENTENAAM VESTIGING;PROVINCIE VESTIGING;TOTAAL LEERLINGEN;AANTAL ZITTENBLIJVERS;AANTAL AFSTROMERS;AANTAL OPSTROMERS;PERCENTAGE ZITTENBLIJVERS;PERCENTAGE AFSTROMERS;PERCENTAGE OPSTROMERS
21SK;1;Mondial College;NIJMEGEN;268;NIJMEGEN;Gelderland;863;45;9;11;5,21;1,04;1,27
21VB;0;Scholen aan Zee 1;DEN HELDER;400;DEN HELDER;Noord-Holland;275;25;3;4;9,09;1,09;1,45
21VB;8;Scholen aan Zee 1;JULIANADORP;400;DEN HELDER;Noord-Holland;44;3;0;2;6,82;0;4,55
21WE;0;Kaj Munk College voor Atheneum Havo Mavo;HOOFDDORP;394;HAARLEMMERMEER;Noord-Holland;1.920;148;50;267;7,71;2,6;13,91
22NE;0;College de Heemlanden School voor havo en atheneum;HOUTEN;321;HOUTEN;Utrecht;1.662;123;29;12;7,4;1,74;0,72
23AP;0;MY college voor VMBO;SPIJKENISSE;1930;NISSEWAARD;Zuid-Holland;324;22;6;14;6,79;1,85;4,32
23FY;0;Bossche Vakschool voor Mavo Vbo Lwoo;'S-HERTOGENBOSCH;796;S HERTOGENBOSCH;Noord-Brabant;747;32;22;53;4,28;2,95;7,1
23GF;0;Stichting Joodse Kindergemeenschap Cheider MAVO HAVO VWO;AMSTERDAM;363;AMSTERDAM;Noord-Holland;36;0;0;5;0;0;13,89
23HC;0;RSG Lingecollege;TIEL;281;TIEL;Gelderland;1.145;58;35;38;5,07;3,06;3,32
23HC;1;RSG Lingecollege;TIEL;281;TIEL;Gelderland;1.851;193;52;102;10,43;2,81;5,51
23HC;2;RSG Lingecollege;TIEL;281;TIEL;Gelderland;5;0;0;0;0;0;0
23JA;1;Grafisch Lyceum Rotterdam voor Mbo Bbo Mavo Vbo;ROTTERDAM;599;ROTTERDAM;Zuid-Holland;503;27;11;5;5,37;2,19;0,99
23KU;0;Northgo College Openbare Scholengemeenschap voor Vmbo Havo Vwo;NOORDWIJK ZH;575;NOORDWIJK;Zuid-Holland;834;29;14;52;3,48;1,68;6,24
23VD;0;Broeckland College voor Mavo Vbo Lwoo;BREUKELEN UT;1904;STICHTSE VECHT;Utrecht;646;16;1;4;2,48;0,15;0,62
23VL;0;Scholengemeenschap Pieter Zandt voor Vwo Havo Vmbo Pro;KAMPEN;166;KAMPEN;Overijssel;1.708;53;33;51;3,1;1,93;2,99
23VL;1;Scholengemeenschap Pieter Zandt voorVwo Havo Mavo Vbo Lwoo;STAPHORST;180;STAPHORST;Overijssel;409;6;38;9;1,47;9,29;2,2
23VL;2;Scholengemeenschap Pieter Zandt voor Lyceum Havo Mavo Vbo Lwoo;URK;184;URK;Flevoland;548;7;24;17;1,28;4,38;3,1
23VL;3;Scholengemeenschap Pieter Zandt voor Vwo Havo Vmbo Pro;IJSSELMUIDEN;166;KAMPEN;Overijssel;249;0;38;16;0;15,26;6,43
23WU;0;Christelijke Scholengemeenschap voor Mavo en Vbo Eekeringe;STEENWIJK;1708;STEENWIJKERLAND;Overijssel;574;19;27;33;3,31;4,7;5,75
23YU;0;Nova College;ROTTERDAM;599;ROTTERDAM;Zuid-Holland;246;2;0;2;0,81;0;0,81
23YU;1;Nova College - locatie Slinge;ROTTERDAM;599;ROTTERDAM;Zuid-Holland;255;19;2;2;7,45;0,78;0,78
23YU;2;Nova College - locatie Montfort College;ROTTERDAM;599;ROTTERDAM;Zuid-Holland;496;32;15;20;6,45;3,02;4,03
23YU;4;Nova College - locatie Charles de Foucauld;SPIJKENISSE;1930;NISSEWAARD;Zuid-Holland;349;20;4;12;5,73;1,15;3,44
23YU;8;Nova College - locatie Palmentuin;ROTTERDAM;599;ROTTERDAM;Zuid-Holland;238;11;3;13;4,62;1,26;5,46
24PY;0;Stedelijk Dalton Lyceum voor Lyceum Havo Mavo Vbo Lwoo;DORDRECHT;505;DORDRECHT;Zuid-Holland;796;57;12;1;7,16;1,51;0,13
24PY;2;Stedelijk Dalton Lyceum voor Lyceum Havo Mavo Vbo Lwoo;DORDRECHT;505;DORDRECHT;Zuid-Holland;394;14;4;51;3,55;1,02;12,94
24PY;5;Stedelijk Dalton Lyceum voor Lyceum Havo Mavo Vbo Lwoo;DORDRECHT;505;DORDRECHT;Zuid-Holland;990;91;14;131;9,19;1,41;13,23
24PY;8;Stedelijk Dalton Lyceum voor Lyceum Havo Mavo Vbo Lwoo;DORDRECHT;505;DORDRECHT;Zuid-Holland;188;99;0;6;52,66;0;3,19
24RW;0;Oostvaarders College voor Lyceum Havo Mavo Vbo Lwoo;ALMERE;34;ALMERE;Flevoland;2.232;165;75;52;7,39;3,36;2,33
24RW;3;Oostvaarders College voor Lyceum Havo Mavo Vbo Lwoolocatie Buitenhout;ALMERE;34;ALMERE;Flevoland;1.233;63;21;70;5,11;1,7;5,68
24RW;4;Oostvaarders Coll. voor Lyceum Havo Mavo Vbo Lwoo loc. Montessori Lyc. Flevoland;ALMERE;34;ALMERE;Flevoland;549;55;21;16;10,02;3,83;2,91
24TF;0;Staring College Regionale Scholengemeenschap voor Ath Gymn Havo Vmbo;LOCHEM;262;LOCHEM;Gelderland;1.555;103;66;66;6,62;4,24;4,24
24TF;1;Staring College Regionale Scholengemeenschap voor Ath Gymn Havo Vmbo;BORCULO;1859;BERKELLAND;Gelderland;373;8;16;22;2,14;4,29;5,9
24TF;2;Staring College Regionale Scholengemeenschap voor Ath Gymn Havo Vmbo;BORCULO;1859;BERKELLAND;Gelderland;154;3;2;0;1,95;1,3;0
24TG;0;Gooise Scholen Federatie Weesp;WEESP;457;WEESP;Noord-Holland;1.281;42;73;73;3,28;5,7;5,7
24TG;4;Gooise Scholen Federatie Weesp, vwo, havo, vmbo, locatie Casparus College;WEESP;457;WEESP;Noord-Holland;268;10;2;23;3,73;0,75;8,58
24TJ;0;Trajectum College, openbare scholengemeenschap voor vbo en mavo;UTRECHT;344;UTRECHT;Utrecht;588;21;7;28;3,57;1,19;4,76
24TP;0;Merewade College Openbare Scholengemeenschap voor Ath Havo Mavo Vbo Lwoo;GORINCHEM;512;GORINCHEM;Zuid-Holland;948;52;10;114;5,49;1,05;12,03
24TP;2;Merewade College Openbare Scholengemeenschap voor Ath Havo Mavo Vbo Lwoo;GORINCHEM;512;GORINCHEM;Zuid-Holland;597;23;24;22;3,85;4,02;3,69
24TR;0;NUOVO scholengroep, openbaar vmbo, mavo, havo, vwo;UTRECHT;344;UTRECHT;Utrecht;1.063;51;38;10;4,8;3,57;0,94
24TR;2;NUOVO scholengroep, openbaar vmbo, mavo, havo, vwo - locatie Ithaka, ISK;UTRECHT;344;UTRECHT;Utrecht;432;214;0;22;49,54;0;5,09
24TR;3;NUOVO scholengroep, openbaar vmbo, mavo, havo, vwo - loc. X11media en vormgeving;UTRECHT;344;UTRECHT;Utrecht;499;2;20;38;0,4;4,01;7,62
24TR;5;NUOVO scholengroep, openbaar vmbo, mavo, havo, vwo - locatie Via Nova College;UTRECHT;344;UTRECHT;Utrecht;660;44;37;20;6,67;5,61;3,03
24TR;10;NUOVO scholengroep, openbaar vmbo, mavo, havo, vwo - locatie MAVO TIEN;UTRECHT;344;UTRECHT;Utrecht;74;0;3;7;0;4,05;9,46
25CL;0;Regionale Scholengemeenschap Stad en Esch voor Lyceum Havo Mavo Vbo Lwoo;MEPPEL;119;MEPPEL;Drenthe;1.244;83;57;98;6,67;4,58;7,88
25CL;1;Regionale Scholengemeenschap Stad en Esch voor Lyceum Havo Mavo Vbo Lwoo;MEPPEL;119;MEPPEL;Drenthe;598;10;60;15;1,67;10,03;2,51
25CL;3;Regionale Scholengemeenschap Stad en Esch voor Lyceum Havo Mavo Vbo Lwoo;DIEVER;1701;WESTERVELD;Drenthe;227;17;12;9;7,49;5,29;3,96
25CM;0;Christelijke Scholengemeenschap Liudger voor Lyceum Havo Mavo Vbo Lwoo Pro;DRACHTEN;90;SMALLINGERLAND;Friesland;960;24;21;49;2,5;2,19;5,1
25CM;4;Christelijke Scholengemeenschap Liudger voor Lyceum Havo Mavo Vbo Lwoo Pro;DRACHTEN;90;SMALLINGERLAND;Friesland;1.050;65;40;12;6,19;3,81;1,14
25CM;7;Christelijke Scholengemeenschap Liudger voor Lyceum Havo Mavo Vbo Lwoo Pro;BURGUM;737;TYTSJERKSTERADIEL;Friesland;596;5;30;49;0,84;5,03;8,22
25CM;8;Christelijke Scholengemeenschap Liudger voor Lyceum Havo Mavo Vbo Lwoo Pro;WASKEMEER;85;OOSTSTELLINGWERF;Friesland;262;4;5;25;1,53;1,91;9,54
25CM;12;Christelijke Scholengemeenschap Liudger voor Lyceum Havo Mavo Vbo Lwoo Pro;BURGUM;737;TYTSJERKSTERADIEL;Friesland;159;15;0;2;9,43;0;1,26
25CR;0;Christelijke Scholengemeenschap Bogerman voor Lyceum Havo Mavo Vbo Lwoo;SNEEK;1900;SUDWEST-FRYSLAN;Friesland;1.286;88;24;6;6,84;1,87;0,47
25CR;3;Bogerman Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;SNEEK;1900;SUDWEST-FRYSLAN;Friesland;708;28;19;55;3,95;2,68;7,77
25CR;7;csg Bogerman voor Lyceum Havo Mavo Vbo Lwoo locatie Koudum;KOUDUM;1900;SUDWEST-FRYSLAN;Friesland;253;5;10;27;1,98;3,95;10,67
25CR;8;csg Bogerman voor Lyceum Havo Mavo Vbo Lwoo locatie Wommels;WOMMELS;140;LITTENSERADIEL;Friesland;123;0;10;5;0;8,13;4,07
25CR;10;csg Bogerman voor Lyceum Havo Mavo Vbo Lwoo locatie Balk;BALK;1940;DE FRYSKE MARREN;Friesland;85;1;14;0;1,18;16,47;0
25CV;0;Bornego College Chr. Scholengemeenschap voor VMBO, Havo, Atheneum en Gymnasium;HEERENVEEN;74;HEERENVEEN;Friesland;677;65;19;2;9,6;2,81;0,3
25CV;1;Bornego College Christelijke Scholengemeenschap voor Atheneum Havo Mavo Vbo;HEERENVEEN;74;HEERENVEEN;Friesland;633;7;34;99;1,11;5,37;15,64
25CV;2;Bornego College Christelijke Scholengemeenschap voor Atheneum Havo Mavo Vbo;HEERENVEEN;74;HEERENVEEN;Friesland;322;14;2;7;4,35;0,62;2,17
25CV;3;Bornego College Christelijke Scholengemeenschap voor Atheneum Havo Mavo Vbo;JOURE;1940;DE FRYSKE MARREN;Friesland;397;5;9;59;1,26;2,27;14,86
25DA;0;Atlas College voor Lyceum Havo Mavo Vbo Lwoo;HOORN NH;405;HOORN;Noord-Holland;1.324;53;27;51;4;2,04;3,85
25DA;2;Atlas College voor Lyceum Havo Mavo Vbo Lwoo;HOORN NH;405;HOORN;Noord-Holland;1.313;76;36;113;5,79;2,74;8,61
25DA;4;Atlas College voor Lyceum Havo Mavo Vbo Lwoo;MEDEMBLIK;420;MEDEMBLIK;Noord-Holland;399;19;5;15;4,76;1,25;3,76
25DA;8;Atlas College voor Lyceum Havo Mavo Vbo Lwoo;HOORN NH;405;HOORN;Noord-Holland;828;47;4;32;5,68;0,48;3,86
25DA;9;Atlas College voor Lyceum Havo Mavo Vbo Lwoo Locatie De Triade;EDAM;385;EDAM-VOLENDAM;Noord-Holland;301;5;4;6;1,66;1,33;1,99
25EF;1;Clusius College Alkmaar;ALKMAAR;361;ALKMAAR;Noord-Holland;276;10;9;12;3,62;3,26;4,35
25EF;2;Clusius College Castricum;CASTRICUM;383;CASTRICUM;Noord-Holland;1.021;17;14;58;1,67;1,37;5,68
25EF;3;Clusius College Amsterdam;AMSTERDAM;363;AMSTERDAM;Noord-Holland;284;11;0;2;3,87;0;0,7
25EF;4;Clusius College Purmerend;PURMEREND;439;PURMEREND;Noord-Holland;1.061;35;27;65;3,3;2,54;6,13
25EF;5;Clusius College Grootebroek;GROOTEBROEK;532;STEDE BROEC;Noord-Holland;246;4;2;8;1,63;0,81;3,25
25EF;6;Clusius College Hoorn;HOORN NH;405;HOORN;Noord-Holland;426;0;0;27;0;0;6,34
25EF;8;Clusius College Heerhugowaard;HEERHUGOWAARD;398;HEERHUGOWAARD;Noord-Holland;292;13;5;21;4,45;1,71;7,19
25EF;9;Clusius College Schagen;SCHAGEN;441;SCHAGEN;Noord-Holland;629;31;22;32;4,93;3,5;5,09
25FU;0;Linnaeus College Haarlem voor Lyceum Havo Mavo Vbo Lwoo;HAARLEM;392;HAARLEM;Noord-Holland;349;0;15;54;0;4,3;15,47
25FU;8;Linnaeus College Haarlem locatie Daaf Gelukschool voor Lyceum Havo Mavo Vbo Lwoo;HAARLEM;392;HAARLEM;Noord-Holland;196;16;0;1;8,16;0;0,51
25FX;0;Rooms Katholieke Scholengemeenschap Reynaert College Lyceum Havo Mavo Vbo Lwoo;HULST;677;HULST;Zeeland;828;48;39;29;5,8;4,71;3,5
25FX;1;Rooms Katholieke Scholengemeenschap Reynaert College Lyceum Havo Mavo Vbo Lwoo;HULST;677;HULST;Zeeland;586;11;3;37;1,88;0,51;6,31
25FY;0;Raayland College RK SGM v Gymn Ath Havo Mavo Vmbo Pro;VENRAY;984;VENRAY;Limburg;2.206;98;43;93;4,44;1,95;4,22
25GA;0;Scholen Combinatie Zoetermeer - Picasso Lyceum;ZOETERMEER;637;ZOETERMEER;Zuid-Holland;1.070;108;44;35;10,09;4,11;3,27
25GA;1;Scholen Combinatie Zoetermeer Stedelijk College;ZOETERMEER;637;ZOETERMEER;Zuid-Holland;1.036;105;16;12;10,14;1,54;1,16
25GB;0;Marne College voor Atheneum Havo Mavo Vbo Lwoo;BOLSWARD;1900;SUDWEST-FRYSLAN;Friesland;1.101;75;36;14;6,81;3,27;1,27
25GB;2;Marne College voor Atheneum Havo Mavo Vbo Lwoo;BOLSWARD;1900;SUDWEST-FRYSLAN;Friesland;336;14;7;5;4,17;2,08;1,49
25GC;0;Scholengemeenschap Breda voor Katholiek Lyceum Havo Mavo Vbo Lwoo;BREDA;758;BREDA;Noord-Brabant;1.118;87;40;68;7,78;3,58;6,08
25GC;1;Scholengemeenschap Breda voor Katholiek Lyceum Havo Mavo Vbo Lwoo;BREDA;758;BREDA;Noord-Brabant;705;7;14;42;0,99;1,99;5,96
25GC;2;Scholengemeenschap Breda voor Katholiek Lyceum Havo Mavo Vbo Lwoo;BREDA;758;BREDA;Noord-Brabant;1.505;141;28;26;9,37;1,86;1,73
25GC;3;Scholengemeenschap Breda voor Katholiek Lyceum Havo Mavo Vbo Lwoo;ZUNDERT;879;ZUNDERT;Noord-Brabant;295;7;16;17;2,37;5,42;5,76
25GC;8;Scholengemeenschap Breda voor Katholiek Lyceum Havo Mavo Vbo Lwoo;BAARLE-NASSAU;744;BAARLE-NASSAU;Noord-Brabant;250;5;10;36;2;4;14,4
25GC;9;Scholengemeenschap Breda voor Katholiek Lyceum Havo Mavo Vbo Lwoo;BREDA;758;BREDA;Noord-Brabant;397;21;11;8;5,29;2,77;2,02
25GC;10;Scholengemeenschap Breda voor Katholiek Lyceum Havo Mavo Vbo Lwoo;BREDA;758;BREDA;Noord-Brabant;286;28;2;30;9,79;0,7;10,49
25GD;0;Andreas College Christelijke Scholengemeenschap voor VWO Havo Vmbo;KATWIJK ZH;537;KATWIJK;Zuid-Holland;613;4;0;4;0,65;0;0,65
25GD;1;Andreas College Christelijke Scholengemeenschap voor Vwo Havo Vmbo;KATWIJK ZH;537;KATWIJK;Zuid-Holland;1.145;42;23;46;3,67;2,01;4,02
25GE;0;Christelijke Scholengemeenschap Het Streek voor Lyceum Havo Mavo Vbo Lwoo;EDE GLD;228;EDE;Gelderland;1.504;74;61;38;4,92;4,06;2,53
25GE;2;Christelijke Scholengemeenschap Het Streek voor Lyceum Havo Mavo Vbo Lwoo;EDE GLD;228;EDE;Gelderland;785;33;21;72;4,2;2,68;9,17
25GF;0;Dendroncollege RK SGM v Lyc Havo Mavo Vbo Lwoo;HORST;1507;HORST AAN DE MAAS;Limburg;2.157;47;30;184;2,18;1,39;8,53
25GL;0;Openb. SGM. Arnhem Noord. voor lyceum, havo, mavo en vbo;ARNHEM;202;ARNHEM;Gelderland;1.223;97;27;15;7,93;2,21;1,23
25GL;4;Openb. SGM. Arnhem Noord voor lyceum, havo, mavo en vbo;ARNHEM;202;ARNHEM;Gelderland;895;123;11;52;13,74;1,23;5,81
25GL;6;Openb. SGM. Arnhem Noord voor lyceum, havo, mavo en vbo;ARNHEM;202;ARNHEM;Gelderland;788;69;4;64;8,76;0,51;8,12
25GL;9;Openb. SGM. Arnhem Noordvoor lyceum, havo, mavo en vbo;VELP GLD;275;RHEDEN;Gelderland;42;16;0;5;38,1;0;11,9
25GM;0;dr Aletta Jacobs College voor Lyc Havo Mavo Vbo Lwoo;HOOGEZAND;18;HOOGEZAND-SAPPEMEER;Groningen;1.392;95;77;24;6,82;5,53;1,72
25GV;1;Agrarisch Opleidingen Centrum Groenhorst;EMMELOORD;171;NOORDOOSTPOLDER;Flevoland;367;19;10;22;5,18;2,72;5,99
25GV;5;Agrarisch Opleidingen Centrum Groenhorst;EDE GLD;228;EDE;Gelderland;441;27;31;16;6,12;7,03;3,63
25GV;7;Agrarisch Opleidingen Centrum Groenhorst;LELYSTAD;995;LELYSTAD;Flevoland;375;33;7;11;8,8;1,87;2,93
25GV;8;Agrarisch Opleidingen Centrum Groenhorst;MAARTENSDIJK;310;DE BILT;Utrecht;430;20;41;19;4,65;9,53;4,42
25GV;9;Agrarisch Opleidingen Centrum Groenhorst;NIJKERK GLD;267;NIJKERK;Gelderland;376;8;29;26;2,13;7,71;6,91
25GV;10;Agrarisch Opleidingen Centrum Groenhorst;VELP GLD;275;RHEDEN;Gelderland;389;16;32;29;4,11;8,23;7,46
25GV;11;Agrarisch Opleidingen Centrum Groenhorst;BILTHOVEN;310;DE BILT;Utrecht;335;10;11;13;2,99;3,28;3,88
25KX;0;Lorentz Casimir Lyceum;EINDHOVEN;772;EINDHOVEN;Noord-Brabant;1.132;52;28;7;4,59;2,47;0,62
25LV;0;Scholengemeenschap De Rooi Pannen;TILBURG;855;TILBURG;Noord-Brabant;996;36;90;8;3,61;9,04;0,8
25LV;19;Scholengemeenschap De Rooi Pannen;EINDHOVEN;772;EINDHOVEN;Noord-Brabant;731;23;17;30;3,15;2,33;4,1
25LX;33;ROC West-Brabant locatie Scala VMBO;TETERINGEN;758;BREDA;Noord-Brabant;900;34;2;4;3,78;0,22;0,44
25LX;41;ROC West-Brabant locatie Effent VMBO;OOSTERHOUT NB;826;OOSTERHOUT;Noord-Brabant;798;29;0;57;3,63;0;7,14
25LX;48;Internationale Schakelklas Breda;BREDA;758;BREDA;Noord-Brabant;173;89;0;5;51,45;0;2,89
25MB;0;Stg ROC Summa College;EINDHOVEN;772;EINDHOVEN;Noord-Brabant;694;54;11;44;7,78;1,59;6,34
25MB;36;Stg ROC Summa College;EINDHOVEN;772;EINDHOVEN;Noord-Brabant;205;95;0;4;46,34;0;1,95
25MG;0;Commanderij College voor gymnasium atheneum havo vmbo  en praktijkonderwijs;GEMERT;1652;GEMERT-BAKEL;Noord-Brabant;1.324;83;94;57;6,27;7,1;4,31
25MG;2;Commanderij College voor gymnasium atheneum havo vmbo en praktijkonderwijs;GEMERT;1652;GEMERT-BAKEL;Noord-Brabant;890;17;4;23;1,91;0,45;2,58
25MG;3;Commanderij College voor gymnasium atheneum havo vmbo en praktijkonderwijs;BEEK EN DONK;1659;LAARBEEK;Noord-Brabant;505;8;2;5;1,58;0,4;0,99
26CC;5;Helicon Opleidingen;KESTEREN;1740;NEDER-BETUWE;Gelderland;296;3;10;5;1,01;3,38;1,69
26CC;6;Helicon Opleidingen;NIJMEGEN;268;NIJMEGEN;Gelderland;496;17;16;37;3,43;3,23;7,46
26CC;8;Helicon Opleidingen;'S-HERTOGENBOSCH;796;S HERTOGENBOSCH;Noord-Brabant;627;19;15;27;3,03;2,39;4,31
26CC;13;Helicon Opleidingen;EINDHOVEN;772;EINDHOVEN;Noord-Brabant;347;0;6;26;0;1,73;7,49
26JR;0;Pro College Nijmegen/Bemmel voor Praktijkonderwijs;NIJMEGEN;268;NIJMEGEN;Gelderland;1;0;0;0;0;0;0
26MZ;0;Baanderherencollege Praktijkonderwijs;BOXTEL;757;BOXTEL;Noord-Brabant;1;0;0;0;0;0;0
27DG;0;de Passie, Evangelische School voor Vmbo-tl, Havo, Vwo;UTRECHT;344;UTRECHT;Utrecht;919;49;28;22;5,33;3,05;2,39
27MD;0;Kennemer College;BEVERWIJK;375;BEVERWIJK;Noord-Holland;1.782;145;62;5;8,14;3,48;0,28
27MD;1;Kennemer College;HEEMSKERK;396;HEEMSKERK;Noord-Holland;849;20;12;48;2,36;1,41;5,65
27MD;2;Kennemer College;HEEMSKERK;396;HEEMSKERK;Noord-Holland;1.001;63;0;61;6,29;0;6,09
27RW;0;de Passie Evangelische School voor Vmbo-tl, Havo, Atheneum, Gymnasium;ROTTERDAM;599;ROTTERDAM;Zuid-Holland;497;48;29;13;9,66;5,84;2,62
27VD;0;AOC Groenhorst Almere Afdeling VMBO-groen;ALMERE;34;ALMERE;Flevoland;832;17;43;34;2,04;5,17;4,09
27VG;0;Porta Mosana College;MAASTRICHT;935;MAASTRICHT;Limburg;1.545;99;29;20;6,41;1,88;1,29
27VG;1;Porta Mosana College;MAASTRICHT;935;MAASTRICHT;Limburg;781;30;29;25;3,84;3,71;3,2
27VG;4;Porta Mosana College;MAASTRICHT;935;MAASTRICHT;Limburg;508;4;0;46;0,79;0;9,06
27ZF;0;Lyceum Bisschop Bekkers voor Gymnnasium, Atheneum en Havo;EINDHOVEN;772;EINDHOVEN;Noord-Brabant;820;67;35;1;8,17;4,27;0,12
27ZH;0;Sint-Maartenscollege;MAASTRICHT;935;MAASTRICHT;Limburg;1.127;206;32;32;18,28;2,84;2,84
27ZH;2;Sint-Maartenscollege;MAASTRICHT;935;MAASTRICHT;Limburg;1.095;69;24;28;6,3;2,19;2,56
27ZJ;0;Bonnefantencollege;MAASTRICHT;935;MAASTRICHT;Limburg;465;23;86;5;4,95;18,49;1,08
27ZJ;1;Bonnefantencollege;MAASTRICHT;935;MAASTRICHT;Limburg;354;17;6;19;4,8;1,69;5,37
27ZJ;2;Bonnefantencollege;MAASTRICHT;935;MAASTRICHT;Limburg;849;40;44;136;4,71;5,18;16,02
28BN;0;Kennemer Praktijkschool;HEEMSKERK;396;HEEMSKERK;Noord-Holland;1;0;0;0;0;0;0
28DB;0;Orion Lyceum voor vwo en havo;BREDA;758;BREDA;Noord-Brabant;144;31;12;0;21,53;8,33;0
28DH;0;IJburg College voor Vwo Havo Mavo en Vbo;AMSTERDAM;363;AMSTERDAM;Noord-Holland;973;56;33;157;5,76;3,39;16,14
28DH;1;IJburg College voor Vwo Havo Mavo en Vbo;AMSTERDAM;363;AMSTERDAM;Noord-Holland;456;33;7;96;7,24;1,54;21,05
29WG;0;de Passie, Evangelische school voor Vmbo-tl, Havo, Vwo;WIERDEN;189;WIERDEN;Overijssel;520;29;28;5;5,58;5,38;0,96
29YT;0;Zuiderzee College voor VMBO;ZAANDAM;479;ZAANSTAD;Noord-Holland;777;54;2;18;6,95;0,26;2,32
29ZT;0;SvPO Kapelle - Isaac Beeckman Academie voor vwo en havo;KAPELLE;678;KAPELLE;Zeeland;386;17;10;3;4,4;2,59;0,78
30AU;0;Citadel College voor vwo havo mavo vbo en lwoo;LENT;268;NIJMEGEN;Gelderland;417;2;1;4;0,48;0,24;0,96
30AU;1;Citadel College voor vwo havo mavo vbo en lwoo;LENT;268;NIJMEGEN;Gelderland;918;52;17;46;5,66;1,85;5,01
30BC;0;SiNTLUCAS;EINDHOVEN;772;EINDHOVEN;Noord-Brabant;470;26;3;56;5,53;0,64;11,91
30BE;0;Houtens;HOUTEN;321;HOUTEN;Utrecht;618;26;1;36;4,21;0,16;5,83
30EU;0;Markland College Zevenbergen;ZEVENBERGEN;1709;MOERDIJK;Noord-Brabant;1.203;68;61;79;5,65;5,07;6,57
30GC;0;Het 4e Gymnasium;AMSTERDAM;363;AMSTERDAM;Noord-Holland;761;31;6;0;4,07;0,79;0
30GD;0;Stedelijk Gymnasium Socrates;LEIDEN;546;LEIDEN;Zuid-Holland;874;21;3;0;2,4;0,34;0
30JN;0;Sint-Vitusmavo;NAARDEN;1942;GOOISE MEREN;Noord-Holland;297;14;3;30;4,71;1,01;10,1
30PP;0;Eemsdeltacollege voor vwo, havo mavo en vbo;DELFZIJL;10;DELFZIJL;Groningen;810;56;5;42;6,91;0,62;5,19
30PP;1;Eemsdelta College voor vwo, havo mavo en vbo;SIDDEBUREN;40;SLOCHTEREN;Groningen;178;5;3;16;2,81;1,69;8,99
30PP;2;Eemsdelta College voor vwo, havo mavo en vbo;APPINGEDAM;3;APPINGEDAM;Groningen;47;11;0;0;23,4;0;0
30PP;4;Eemsdelta College voor vwo, havo mavo en vbo;APPINGEDAM;3;APPINGEDAM;Groningen;980;109;35;18;11,12;3,57;1,84
30UB;0;UniC school voor vwo en havo;UTRECHT;344;UTRECHT;Utrecht;591;58;13;4;9,81;2,2;0,68
30UB;1;UniC school voor vwo en havo - locatie International School Utrecht;UTRECHT;344;UTRECHT;Utrecht;74;2;0;14;2,7;0;18,92
30UV;0;SvPO Hurdegaryp - Tjalling Koopmans College voor Vwo Havo en Mavo;HURDEGARYP;737;TYTSJERKSTERADIEL;Friesland;233;3;3;64;1,29;1,29;27,47
30WH;0;Avicenna College voor vwo, havo, mavo en vbo;ROTTERDAM;599;ROTTERDAM;Zuid-Holland;235;10;7;17;4,26;2,98;7,23
30WH;1;Avicenna College voor vwo, havo, mavo en vbo;ROTTERDAM;599;ROTTERDAM;Zuid-Holland;354;6;1;2;1,69;0,28;0,56
