BRINNUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;PLAATSNAAM VESTIGING;GEMEENTENUMMER VESTIGING;GEMEENTENAAM VESTIGING;PROVINCIE VESTIGING;TOTAAL LEERLINGEN;AANTAL ZITTENBLIJVERS;AANTAL AFSTROMERS;AANTAL OPSTROMERS;PERCENTAGE ZITTENBLIJVERS;PERCENTAGE AFSTROMERS;PERCENTAGE OPSTROMERS
19GY;6;Comenius College Chr. SGM voor vwo havo vmbo lwoo, loc. Nieuwerkerk;NIEUWERKERK AD IJSSEL;1892;ZUIDPLAS;Zuid-Holland;452;19;28;34;4,2;6,19;7,52
19HG;2;Sg. Carmel Hengelo voor ATH HAVO MAVO VBO loc. Het Twickel College Borne;BORNE;147;BORNE;Overijssel;209;0;0;18;0;0;8,61
19HG;4;Sg. Carmel Hengelo voor ATH HAVO MAVO VBO loc. Het Twickel College Delden;DELDEN;1735;HOF VAN TWENTE;Overijssel;374;1;6;18;0,27;1,6;4,81
19HG;7;Sg. Carmel Hengelo voor ATH HAVO MAVO VBO loc. Het Twickel College Hengelo;HENGELO OV;164;HENGELO;Overijssel;980;81;40;5;8,27;4,08;0,51
19HG;8;Sg. Carmel Hengelo voor ATH HAVO MAVO VBO loc. VMBO De Spindel Eaton;HENGELO OV;164;HENGELO;Overijssel;162;3;6;0;1,85;3,7;0
19HG;9;Sg. Carmel Hengelo voor ATH HAVO MAVO VBO loc. VMBO De Spindel Bataafse Kamp;HENGELO OV;164;HENGELO;Overijssel;115;3;1;4;2,61;0,87;3,48
19HG;10;Sg. Carmel Hengelo voor ATH HAVO MAVO VBO loc. VMBO De Spindel Paul Krugerstraat;HENGELO OV;164;HENGELO;Overijssel;123;0;0;0;0;0;0
19HR;0;Blariacumcollege Scholengemeenschap voor Lyceum Havo Mavo Vbo Lwoo;VENLO;983;VENLO;Limburg;1.777;68;18;122;3,83;1,01;6,87
19HV;0;Ath vh Bernardinuscol;HEERLEN;917;HEERLEN;Limburg;571;67;33;0;11,73;5,78;0
19HY;0;Burg Walda Scholengemeenschap voor VMBO;NES AMELAND;60;AMELAND;Friesland;161;0;0;18;0;0;11,18
19IP;0;Rembrandt College Openbare Scholengemeenschap voor Mavo Havo Ath;VEENENDAAL;345;VEENENDAAL;Utrecht;1.004;57;38;19;5,68;3,78;1,89
19IP;1;Rembrandt College Openbare Scholengemeenschap voor Mavo Havo Ath;RHENEN;340;RHENEN;Utrecht;263;20;0;19;7,6;0;7,22
19IW;0;Regionale Scholengemeenschap Wolfsbos;HOOGEVEEN;118;HOOGEVEEN;Drenthe;1.204;105;11;140;8,72;0,91;11,63
19IW;4;Regionale Schiolengemeenschap Wolfsbos;HOOGEVEEN;118;HOOGEVEEN;Drenthe;452;5;6;3;1,11;1,33;0,66
19IW;5;Regionale Scholengemeenschap Wolfsbos;HOOGEVEEN;118;HOOGEVEEN;Drenthe;150;31;1;2;20,67;0,67;1,33
19KM;0;Mavo Schravenlant XL voor mavo en vmbo;SCHIEDAM;606;SCHIEDAM;Zuid-Holland;507;31;1;21;6,11;0,2;4,14
19KZ;0;Pallas Athene College Openbare Scholengemeenschap voor Vwo Havo Mavo Vbo;EDE GLD;228;EDE;Gelderland;1.123;71;11;158;6,32;0,98;14,07
19LO;0;Linde College voor Atheneum Havo Mavo Vbo en Lwoo;WOLVEGA;98;WESTSTELLINGWERF;Friesland;1.341;64;60;40;4,77;4,47;2,98
19PV;0;Graaf Huyn College voor LYC HAVO MAVO VBO LWOO;GELEEN;1883;SITTARD-GELEEN;Limburg;2.032;140;44;35;6,89;2,17;1,72
19QA;0;Koningin Wilhelmina College voor Lyc Havo Mavo Vbo Pro en Lwoo;CULEMBORG;216;CULEMBORG;Gelderland;1.313;49;49;40;3,73;3,73;3,05
19QA;4;Koningin Wilhelmina College voor Lyc Havo Mavo Vbo Pro en Lwoo;CULEMBORG;216;CULEMBORG;Gelderland;264;2;3;16;0,76;1,14;6,06
19QC;0;School voor Havo Mavo V H Bernardinuscollege;HEERLEN;917;HEERLEN;Limburg;642;50;15;35;7,79;2,34;5,45
19RX;0;Merletcollege Lyc Havo Mavo Vbo Lwoo;CUIJK;1684;CUIJK;Noord-Brabant;903;54;30;44;5,98;3,32;4,87
19RX;1;Merletcollege Lyc Havo Mavo Vbo Lwoo;GRAVE;786;GRAVE;Noord-Brabant;701;33;10;53;4,71;1,43;7,56
19RX;2;Merletcollege Lyc Havo Mavo Vbo Lwoo;MILL;815;MILL EN SINT HUBERT;Noord-Brabant;440;5;7;74;1,14;1,59;16,82
19RX;3;Merletcollege Lyc Havo Mavo Vbo Lwoo;CUIJK;1684;CUIJK;Noord-Brabant;119;1;3;5;0,84;2,52;4,2
19TI;0;Solyvius College SGM voor Lyc Havo Mavo Vbo Lwoo;HOOFDDORP;394;HAARLEMMERMEER;Noord-Holland;1.242;40;5;172;3,22;0,4;13,85
19TI;3;Solyvius College- locatie Hoofdvaart College;HOOFDDORP;394;HAARLEMMERMEER;Noord-Holland;721;39;10;37;5,41;1,39;5,13
19TI;5;Solyvius Coll loc Haarlemmermeer- Lyceum Zuidrand;HOOFDDORP;394;HAARLEMMERMEER;Noord-Holland;918;73;24;12;7,95;2,61;1,31
19XH;0;Het Hooghuis;OSS;828;OSS;Noord-Brabant;1.514;69;60;15;4,56;3,96;0,99
19XH;1;Het Hooghuis Locatie Stadion;OSS;828;OSS;Noord-Brabant;909;25;40;20;2,75;4,4;2,2
19XH;2;Hooghuis Lyceum;RAVENSTEIN;828;OSS;Noord-Brabant;115;5;3;0;4,35;2,61;0
19XH;3;Hooghuis Lyceum;HEESCH;1721;BERNHEZE;Noord-Brabant;521;19;6;12;3,65;1,15;2,3
19XH;4;Hooghuis Lyceum;OSS;828;OSS;Noord-Brabant;804;19;17;21;2,36;2,11;2,61
19XH;5;Hooghuis Lyceum;OSS;828;OSS;Noord-Brabant;388;3;16;16;0,77;4,12;4,12
19XH;7;Hooghuis Lyceum voor Lyceum Havo Mavo Vbo Lwoo;OSS;828;OSS;Noord-Brabant;198;11;14;14;5,56;7,07;7,07
19XH;9;Het Hooghuis-locatie Mondriaan College;OSS;828;OSS;Noord-Brabant;838;47;18;53;5,61;2,15;6,32
19XS;0;Sintermeertencollege Scholengemeenschap voor Lyceum Havo Mavo;HEERLEN;917;HEERLEN;Limburg;1.372;99;48;189;7,22;3,5;13,78
19XV;0;Prisma VO;BREDA;758;BREDA;Noord-Brabant;865;27;4;2;3,12;0,46;0,23
19XV;1;Prisma VO, vestiging Graaf Engelbrecht ath havo mavo;BREDA;758;BREDA;Noord-Brabant;758;77;25;97;10,16;3,3;12,8
19XV;2;Prisma VO, vestiging De Rotonde vmbo;BREDA;758;BREDA;Noord-Brabant;393;74;0;2;18,83;0;0,51
19XY;0;Amstelveen College Opb Ssm voor Gymnasium Havo en Mavo;AMSTELVEEN;362;AMSTELVEEN;Noord-Holland;1.669;114;17;80;6,83;1,02;4,79
19ZP;0;Maris College voor Mavo Vmbo Lwoo;'S-GRAVENHAGE;518;S GRAVENHAGE;Zuid-Holland;650;15;1;10;2,31;0,15;1,54
19ZP;3;Maris College voor Mavo Vmbo Lwoo - locatie Kijkduin;'S-GRAVENHAGE;518;S GRAVENHAGE;Zuid-Holland;239;1;2;22;0,42;0,84;9,21
19ZP;4;Maris College voor Mavo Vmbo Lwoo - locatie Statenkwartier;'S-GRAVENHAGE;518;S GRAVENHAGE;Zuid-Holland;234;16;9;2;6,84;3,85;0,85
19ZP;5;Maris College voor Mavo Vmbo Lwoo - locatie Houtrust;'S-GRAVENHAGE;518;S GRAVENHAGE;Zuid-Holland;419;32;1;34;7,64;0,24;8,11
19ZP;6;Maris College voor Mavo Vmbo Lwoo;'S-GRAVENHAGE;518;S GRAVENHAGE;Zuid-Holland;121;11;0;4;9,09;0;3,31
19ZQ;0;Stedelijk Dalton College Alkmaar voor vwo havo mavo en vbo;ALKMAAR;361;ALKMAAR;Noord-Holland;1.104;62;18;45;5,62;1,63;4,08
19ZQ;2;Stedelijk Dalton College Alkmaar voor vwo havo mavo en vbo,vest. Van der Meij;ALKMAAR;361;ALKMAAR;Noord-Holland;172;4;1;9;2,33;0,58;5,23
19ZU;0;Gemeentelijk Gymnasium Camphusianum;GORINCHEM;512;GORINCHEM;Zuid-Holland;742;41;7;0;5,53;0,94;0
19ZX;0;Huygens College Heerhugowaard voor vwo havo mavo en vbo;HEERHUGOWAARD;398;HEERHUGOWAARD;Noord-Holland;864;64;24;64;7,41;2,78;7,41
19ZX;1;Huygens College Heerhugowaard voor vwo havo mavo en vbo;HEERHUGOWAARD;398;HEERHUGOWAARD;Noord-Holland;297;8;0;6;2,69;0;2,02
20AA;0;Murmellius Gymnasium;ALKMAAR;361;ALKMAAR;Noord-Holland;875;50;7;0;5,71;0,8;0
20AB;0;Grotius College voor Lyceum Havo Mavo Vbo Lwoo;DELFT;503;DELFT;Zuid-Holland;884;116;134;91;13,12;15,16;10,29
20AB;6;Grotius College voor Lyceum Havo Mavo Vbo Lwoo;DELFT;503;DELFT;Zuid-Holland;309;38;4;4;12,3;1,29;1,29
20AD;0;Rietveld Lyceum Scholengemeenschap voor Gymn Ath Havo Mavo;DOETINCHEM;222;DOETINCHEM;Gelderland;1.186;77;45;26;6,49;3,79;2,19
20AE;0;Willem De Zwijger College voor Gym, Ath, Havo, en Vmbo;PAPENDRECHT;590;PAPENDRECHT;Zuid-Holland;1.246;78;39;133;6,26;3,13;10,67
20AE;1;Willem De Zwijger College voor Ath Havo en Vmbo;HARDINXVELD-GIESSENDAM;523;HARDINXVELD-GIESSENDAM;Zuid-Holland;217;5;9;48;2,3;4,15;22,12
20AI;0;Coornhert Gymnasium;GOUDA;513;GOUDA;Zuid-Holland;735;44;5;0;5,99;0,68;0
20AJ;0;Stedelijk Gymnasium;'S-HERTOGENBOSCH;796;S HERTOGENBOSCH;Noord-Brabant;798;107;1;0;13,41;0,13;0
20AM;0;Farelcollege Christelijke Scholengemeenschap voor atheneum havo mavo vmbo;RIDDERKERK;597;RIDDERKERK;Zuid-Holland;1.679;88;87;75;5,24;5,18;4,47
20AT;0;Scholengroep Het Plein voor Ath Gym Havo Mavo Vbo Pro en Lwoo;EINDHOVEN;772;EINDHOVEN;Noord-Brabant;1.496;81;42;236;5,41;2,81;15,78
20AT;1;Scholengroep Het Plein voor Ath Gym Havo Mavo Vbo Pro en Lwoo;EINDHOVEN;772;EINDHOVEN;Noord-Brabant;347;18;10;10;5,19;2,88;2,88
20AT;3;Scholengroep Het Plein voor Ath Gym Havo Mavo Vbo Pro en Lwoo;EINDHOVEN;772;EINDHOVEN;Noord-Brabant;261;5;5;3;1,92;1,92;1,15
20AT;4;Scholengroep Het Plein voor Ath Gym Havo Mavo Vbo Pro en Lwoo;EINDHOVEN;772;EINDHOVEN;Noord-Brabant;218;6;25;15;2,75;11,47;6,88
20AT;7;Scholengroep Het Plein voor Ath Gym Havo Mavo Vbo Pro en Lwoo;EINDHOVEN;772;EINDHOVEN;Noord-Brabant;131;9;4;0;6,87;3,05;0
20BC;0;Oranje Nassau College Scholengemeenschap Ath Havo Mavo Vbo Lwoo;ZOETERMEER;637;ZOETERMEER;Zuid-Holland;1.109;65;29;59;5,86;2,61;5,32
20BC;1;Oranje Nassau College Scholengemeenschap Ath Havo Mavo Vbo Lwoo;ZOETERMEER;637;ZOETERMEER;Zuid-Holland;913;55;4;9;6,02;0,44;0,99
20BH;0;IJsselcollege(VWO,HAVO,MAVO,VMBO,PRO);CAPELLE AAN DEN IJSSEL;502;CAPELLE AAN DEN IJSSEL;Zuid-Holland;486;30;7;23;6,17;1,44;4,73
20BH;1;IJsselcollege voor Atheneum Havo Mavo Vbo Lwoo;CAPELLE AAN DEN IJSSEL;502;CAPELLE AAN DEN IJSSEL;Zuid-Holland;448;12;4;7;2,68;0,89;1,56
20BK;0;Openbaar Stedelijk College Eindhoven voor Atheneum Havo Mavo Vbo Lwoo;EINDHOVEN;772;EINDHOVEN;Noord-Brabant;1.562;122;44;50;7,81;2,82;3,2
20BK;1;Openbaar Stedelijk College Eindhoven voor Atheneum Havo Mavo Vbo Lwoo;EINDHOVEN;772;EINDHOVEN;Noord-Brabant;961;111;22;126;11,55;2,29;13,11
20BK;3;Openbaar Stedelijk College Eindhoven voor Atheneum Havo Mavo Vbo Lwoo;EINDHOVEN;772;EINDHOVEN;Noord-Brabant;321;7;0;35;2,18;0;10,9
20BQ;0;Mill-Hillcollege;GOIRLE;785;GOIRLE;Noord-Brabant;1.572;92;27;34;5,85;1,72;2,16
20BV;0;Praedinius Gymnasium;GRONINGEN;14;GRONINGEN;Groningen;949;84;16;0;8,85;1,69;0
20CF;0;Gymnasium Celeanum;ZWOLLE;193;ZWOLLE;Overijssel;544;33;4;0;6,07;0,74;0
20CF;1;Gymnasium Celeanum;ZWOLLE;193;ZWOLLE;Overijssel;285;8;0;0;2,81;0;0
20CI;0;Stedelijk Gymnasium Nijmegen;NIJMEGEN;268;NIJMEGEN;Gelderland;1.329;55;11;0;4,14;0,83;0
20CJ;0;Het College Vos;VLAARDINGEN;622;VLAARDINGEN;Zuid-Holland;578;39;55;56;6,75;9,52;9,69
20CJ;4;Vlaardingse Openbare Scholengemeenschap voor LYC HAVO MAVO VBO LWOO;VLAARDINGEN;622;VLAARDINGEN;Zuid-Holland;399;29;7;16;7,27;1,75;4,01
20CJ;10;Het College Vos;SCHIEDAM;606;SCHIEDAM;Zuid-Holland;254;120;0;50;47,24;0;19,69
20CJ;11;Het College Vos;VLAARDINGEN;622;VLAARDINGEN;Zuid-Holland;359;14;7;26;3,9;1,95;7,24
20CK;0;Joh van Oldenbarnevelt Gymnasium;AMERSFOORT;307;AMERSFOORT;Utrecht;912;38;4;0;4,17;0,44;0
