"VESTIGINGSNAAM";"GEMEENTENAAM";"DENOMINATIE";"totaal.leerlingen";"percentage.vmbo";"percentage.havo";"percentage.vwo";"geslaagd.vmbo";"cijfer.vmbo";"geslaagd.havo";"cijfer.havo";"geslaagd.vwo";"cijfer.vwo";"percentage.zittenblijvers";"percentage.opstromers"
"Munnikenheide College";"ETTEN-LEUR";"Rooms-Katholiek";378;"100";"0";"0";"96.8911917098446";"6.47564766839378";"-";"-";"-";"-";"23.3243967828418";"1.60857908847185"
"Dongemond College";"GEERTRUIDENBERG";"Rooms-Katholiek";1166;"34.1337907375643";"39.622641509434";"26.2435677530017";"99.537037037037";"6.84212962962963";"93.2515337423313";"6.5601226993865";"88.2352941176471";"6.69019607843137";"5.38461538461539";"6.50887573964497"
"Calvijn College";"GOES";"Reformatorisch";943;"0";"53.5524920466596";"46.4475079533404";"-";"-";"96.4102564102564";"6.61846153846154";"95.8904109589041";"6.84520547945205";"3.45104333868379";"0.321027287319422"
"Calvijn College voor Reformatorisch Vmbo Havo Vwo";"GOES";"Reformatorisch";146;"100";"0";"0";"97.4683544303797";"6.73037974683544";"-";"-";"-";"-";"2.89256198347107";"2.06611570247934"
"Het Goese Lyceum";"GOES";"Openbaar";277;"100";"0";"0";"97.2789115646258";"6.80884353741497";"-";"-";"-";"-";"3.42298288508557";"0.244498777506112"
"Ostrea Lyceum mavo havo";"GOES";"Samenwerking PC, RK";868;"0";"54.7235023041475";"45.2764976958525";"-";"-";"96.551724137931";"6.67844827586207";"87.0967741935484";"6.54193548387097";"5.94827586206897";"11.551724137931"
"Ostrea Lyceum vmbo";"GOES";"Samenwerking PC, RK";270;"100";"0";"0";"98.0769230769231";"6.65641025641026";"-";"-";"-";"-";"4.30839002267574";"2.26757369614512"
"Ostrea Lyceum vwo";"GOES";"Samenwerking PC, RK";242;"100";"0";"0";"96.7213114754098";"6.6";"-";"-";"-";"-";"4.61538461538462";"0"
"Pontes";"GOES";"Openbaar";1152;"24.9131944444444";"36.4583333333333";"38.6284722222222";"92.6315789473684";"6.5";"89.1472868217054";"6.46124031007752";"84.6938775510204";"6.80816326530612";"10.3169670602859";"9.88191423244251"
"Markland College Oudenbosch";"HALDERBERGE";"Rooms-Katholiek";636;"47.7987421383648";"29.0880503144654";"23.1132075471698";"94.3396226415094";"6.54654088050315";"96.3636363636364";"6.63090909090909";"95.2380952380952";"6.87619047619048";"5.99647266313933";"6.17283950617284"
"Prinsentuin Oudenbosch vmbo";"HALDERBERGE";"Samenwerking PC, RK, Alg. Bijz";218;"100";"0";"0";"99.0909090909091";"6.61272727272727";"-";"-";"-";"-";"1.39211136890951";"1.85614849187935"
"Markland College Zevenbergen";"MOERDIJK";"Rooms-Katholiek";627;"30.1435406698565";"41.7862838915471";"28.0701754385965";"96.4912280701754";"6.62368421052632";"94.8051948051948";"6.62727272727273";"92.5";"6.7975";"6.08773500447628";"5.19247985675918"
"Effent mavo";"OOSTERHOUT";"Samenwerking PC, RK, Alg. Bijz";367;"100";"0";"0";"94.6745562130178";"6.70769230769231";"-";"-";"-";"-";"5.58510638297872";"7.04787234042553"
"Hanze College";"OOSTERHOUT";"Rooms-Katholiek";221;"100";"0";"0";"97.029702970297";"6.43762376237624";"-";"-";"-";"-";"3.05676855895197";"7.20524017467249"
"Mgr Frencken College";"OOSTERHOUT";"Rooms-Katholiek";1008;"0";"61.8055555555556";"38.1944444444444";"-";"-";"92.3076923076923";"6.63296703296703";"92.5373134328358";"6.74477611940299";"6.65680473372781";"0.29585798816568"
"Sint Oelbert Gymnasium";"OOSTERHOUT";"Rooms-Katholiek";743;"0";"0";"100";"-";"-";"-";"-";"89.922480620155";"6.74108527131783";"9.54151177199504";"0"
"Da Vinci College";"ROOSENDAAL";"Rooms-Katholiek";563;"100";"0";"0";"98.5401459854015";"6.65912408759124";"-";"-";"-";"-";"4.06091370558376";"1.1844331641286"
"Gertrudiscollege";"ROOSENDAAL";"Rooms-Katholiek";299;"79.2642140468227";"1.00334448160535";"19.7324414715719";"90.9090909090909";"6.43787878787879";"91";"6.608";"88.8888888888889";"6.72";"7.04347826086957";"1.82608695652174"
"Jan Tinbergen Coll., loc. Burg. Schneiderlaan";"ROOSENDAAL";"Openbaar";1164;"14.4329896907216";"46.8213058419244";"38.745704467354";"97.6377952755905";"6.64409448818898";"91.4728682170543";"6.43720930232558";"90.1960784313726";"6.7921568627451";"6.17935192162773";"7.30972117558402"
"Norbertuscollege";"ROOSENDAAL";"Rooms-Katholiek";1231;"0";"40.1299756295695";"59.8700243704305";"-";"-";"94.9367088607595";"6.66708860759494";"94.059405940594";"6.73861386138614";"5.75831305758313";"0.40551500405515"
"Munnikenheide College";"RUCPHEN";"Rooms-Katholiek";192;"100";"0";"0";"98.0392156862745";"6.51078431372549";"-";"-";"-";"-";"27.7634961439589";"2.82776349614396"
"'t Ravelijn";"STEENBERGEN";"Rooms-Katholiek";376;"100";"0";"0";"92.5465838509317";"6.60372670807453";"-";"-";"-";"-";"2.26171243941842";"0.969305331179321"
"Calvijn College";"THOLEN";"Reformatorisch";89;"100";"0";"0";"97.8260869565217";"6.84565217391304";"-";"-";"-";"-";"0.993377483443709";"1.32450331125828"
"2College Cobbenhagenlyceum";"TILBURG";"Rooms-Katholiek";388;"0";"52.5773195876289";"47.4226804123711";"-";"-";"88.7323943661972";"6.48450704225352";"93.5483870967742";"6.80967741935484";"7.07070707070707";"0.505050505050505"
"2College Cobbenhagenmavo";"TILBURG";"Rooms-Katholiek";170;"100";"0";"0";"91.358024691358";"6.37407407407407";"-";"-";"-";"-";"5.65476190476191";"5.35714285714286"
"2College De Nieuwste School";"TILBURG";"Rooms-Katholiek";359;"21.4484679665738";"34.8189415041783";"43.7325905292479";"88.8888888888889";"6.53888888888889";"84";"6.59866666666667";"91.6666666666667";"6.74166666666667";"5.35491905354919";"14.1967621419676"
"2College Jozefmavo";"TILBURG";"Rooms-Katholiek";306;"100";"0";"0";"97.2222222222222";"6.68611111111111";"-";"-";"-";"-";"8.78136200716846";"2.5089605734767"
"2College Ruiven";"TILBURG";"Rooms-Katholiek";168;"100";"0";"0";"89.5833333333333";"6.56041666666667";"-";"-";"-";"-";"5.95854922279793";"4.66321243523316"
"Beatrix College";"TILBURG";"Openbaar";1774;"30.608793686584";"35.7948139797069";"33.5963923337091";"93.2692307692308";"6.51538461538462";"91.1917098445596";"6.45699481865285";"88.4210526315789";"6.76421052631579";"6.04107933950866";"5.96053161498188"
"Beatrix College locatie Reeshof";"TILBURG";"Openbaar";162;"100";"0";"0";"97.029702970297";"6.57524752475247";"-";"-";"-";"-";"0.248756218905473";"0.746268656716418"
"Kon Willem II College";"TILBURG";"Openbaar";1310;"30.381679389313";"45.0381679389313";"24.5801526717557";"86.7256637168142";"6.42920353982301";"88.1481481481482";"6.39259259259259";"85.7142857142857";"6.62142857142857";"7.3510773130545";"21.8631178707224"
"Reeshof College";"TILBURG";"Rooms-Katholiek";216;"100";"0";"0";"99.0476190476191";"6.48571428571429";"-";"-";"-";"-";"1.99430199430199";"2.27920227920228"
"SG De Rooi Pannen";"TILBURG";"Rooms-Katholiek";458;"100";"0";"0";"95.8715596330275";"6.51926605504587";"-";"-";"-";"-";"3.76398779247202";"3.96744659206511"
"Sint Odulphuslyceum";"TILBURG";"Rooms-Katholiek";1569;"0";"35.3091140854047";"64.6908859145953";"-";"-";"93.0555555555556";"6.64722222222222";"94.2857142857143";"6.66571428571429";"4.73498233215548";"0.777385159010601"
"Theresialyceum";"TILBURG";"Rooms-Katholiek";710;"0";"47.1830985915493";"52.8169014084507";"-";"-";"84.1059602649007";"6.57549668874172";"86.2068965517241";"6.70086206896552";"8.33884844473858";"0.727994705493051"
"Vakcollege Tilburg";"TILBURG";"Rooms-Katholiek";372;"100";"0";"0";"95.5445544554455";"6.56930693069307";"-";"-";"-";"-";"5.02717391304348";"2.17391304347826"
"Dr. Mollercollege";"WAALWIJK";"Rooms-Katholiek";1069;"0";"67.0720299345182";"32.9279700654818";"-";"-";"81.1023622047244";"6.55275590551181";"91.4285714285714";"6.73714285714286";"6.43367752184273";"2.54169976171565"
"SGM De Overlaat";"WAALWIJK";"Samenwerking PC, RK, Alg. Bijz";451;"100";"0";"0";"96.0474308300395";"6.56205533596838";"-";"-";"-";"-";"3.54906054279749";"6.88935281837161"
"Walewyc-mavo";"WAALWIJK";"Rooms-Katholiek";551;"100";"0";"0";"95";"6.601875";"-";"-";"-";"-";"2.89193302891933";"2.58751902587519"
"Willem v Oranje College";"WAALWIJK";"Protestants-Christelijk";986;"15.9229208924949";"50.2028397565923";"33.8742393509128";"96.875";"6.68541666666667";"92.6829268292683";"6.74715447154472";"93.1034482758621";"6.92528735632184";"6.86886708296164";"1.96253345227475"
"Mollerlyceum";"WOENSDRECHT";"Rooms-Katholiek";396;"100";"0";"0";"94.5121951219512";"6.54329268292683";"-";"-";"-";"-";"4.48";"2.72"
"Mencia Sandrode ";"ZUNDERT";"Rooms-Katholiek";207;"64.7342995169082";"27.536231884058";"7.72946859903382";"89.4736842105263";"6.43684210526316";"-";"-";"-";"-";"5.69395017793594";"6.04982206405694"
